Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
Synaptic Long Term Depression	1.16	0.0794	1.807	"CACNA2D1,CACNA2D3,CACNB1,CACNB2,GNA14,GNAO1,GUCY1A1,NPR1,NPR3,PLA2G4A,PLA2G4C,PLAAT3,PLCB4,PLCD3,PLCH2"
HIF1_ Signaling	1.15	0.0885	#NUM!	"MAPK10,MDM2,MMP11,MMP14,MMP16,MMP2,MMP28,MMP7,PGF,PIK3C2G"
HER-2 Signaling in Breast Cancer	1.15	0.0952	#NUM!	"CCND1,ITGB3,ITGB6,MDM2,MMP2,NRG1,PARD6G,PIK3C2G"
Nitric Oxide Signaling in the Cardiovascular System	1.14	0.0909	-1	"ADRB1,BDKRB2,CALML5,CAV1,GUCY1A1,PDE2A,PGF,PIK3C2G,PRKACB"
GADD45 Signaling	1.13	0.158	#NUM!	"CCND1,CCND2,GADD45A"
Synaptic Long Term Potentiation	1.13	0.0853	-2.111	"CALML5,CAMK2B,GNA14,GRIN2A,GRIN2B,GRIN2C,PLCB4,PLCD3,PLCH2,PPP1R14C,PRKACB"
HOTAIR Regulatory Pathway	1.12	0.0813	1.387	"FOXA1,MDM2,MMP11,MMP14,MMP16,MMP2,MMP28,MMP7,PIK3C2G,SNAI2,TCF7L1,WIF1,WNT5A"
Sucrose Degradation V (Mammalian)	1.12	0.222	#NUM!	"GALM,KHK"
Heme Biosynthesis II	1.12	0.222	#NUM!	"ALAS1,ALAS2"
Xenobiotic Metabolism PXR Signaling Pathway	1.11	0.0781	2.84	"ABCB1,ABCC2,ALDH1A2,ALDH1A3,ALDH4A1,CAMK2B,CES1,CHST3,CHST7,GSTA1,GSTM5,HS6ST1,MGST1,PPP1R14C,PRKACB"
Glutathione-mediated Detoxification	1.08	0.125	2	"ANPEP,GSTA1,GSTM5,MGST1"
Fatty Acid _-oxidation	1.08	0.15	#NUM!	"ALDH1A2,ALDH1A3,ALDH4A1"
Sphingosine-1-phosphate Signaling	1.07	0.0855	0.632	"ADCY3,ADCY5,PIK3C2G,PLCB4,PLCD3,PLCH2,RHOJ,RHOV,RND3,SPHK1"
Acute Phase Response Signaling	1.07	0.0782	1.134	"A2M,C1R,C1S,CFB,CRABP2,IL1B,LBP,MAP2K6,NGFR,SAA1,SAA2,SERPINF1,SOCS2,VWF"
PFKFB4 Signaling Pathway	1.05	0.109	1.342	"AMPD1,FGF2,MAP2K6,PFKFB4,PRKACB"
Glioblastoma Multiforme Signaling	1.04	0.0788	1.941	"CCND1,FZD1,IGF2,MDM2,PIK3C2G,PLCB4,PLCD3,PLCH2,RHOJ,RHOV,RND3,SMO,WNT5A"
SPINK1 Pancreatic Cancer Pathway	1.04	0.1	-1.633	"CPA3,CPA4,CPE,CTSB,KLK10,KLK7"
Glycine Betaine Degradation	1.03	0.2	#NUM!	"BHMT2,SDS"
IGF-1 Signaling	1.03	0.0865	#NUM!	"CCN3,IGFBP2,IGFBP4,IGFBP6,IGFBP7,PIK3C2G,PRKACB,SFN,SOCS2"
Putrescine Degradation III	1.03	0.143	#NUM!	"ALDH1A2,ALDH1A3,ALDH4A1"
STAT3 Pathway	1.02	0.0815	1.414	"FGF2,FGFR1,IL12RB2,IL17RD,IL17RE,IL1B,MAPK10,NGFR,NTRK2,NTRK3,SOCS2"
CXCR4 Signaling	1.01	0.0778	0.905	"ADCY3,ADCY5,CXCL12,GNA14,GNAO1,GNG2,MAPK10,PAK6,PIK3C2G,PLCB4,RHOJ,RHOV,RND3"
Androgen Signaling	1.01	0.0809	-1.134	"CACNA2D1,CACNA2D3,CACNB1,CACNB2,CALML5,CCND1,DNAJB1,GNA14,GNAO1,GNG2,PRKACB"
LXR/RXR Activation	1	0.0826	1.265	"APOD,APOE,IL1B,LBP,NGFR,PLTP,RXRG,SAA1,SAA2,SERPINF1"
Spliceosomal Cycle	0.996	0.5	#NUM!	U2AF1/U2AF1L5
Dolichol and Dolichyl Phosphate Biosynthesis	0.996	0.5	#NUM!	DHDDS
Alanine Degradation III	0.996	0.5	#NUM!	GPT
Taurine Biosynthesis	0.996	0.5	#NUM!	CDO1
Alanine Biosynthesis II	0.996	0.5	#NUM!	GPT
4-hydroxyproline Degradation I	0.996	0.5	#NUM!	ALDH4A1
Sulfate Activation for Sulfonation	0.996	0.5	#NUM!	PAPSS2
Glycine Degradation (Creatine Biosynthesis)	0.996	0.5	#NUM!	GATM
Death Receptor Signaling	0.991	0.0879	0.707	"FAS,GAS2,HSPB1,HSPB7,TIPARP,TNFRSF10A,TNFRSF21,TNFSF15"
Phospholipases	0.963	0.0952	1.633	"PLA2G4A,PLA2G4C,PLAAT3,PLCB4,PLCD3,PLCH2"
Endothelin-1 Signaling	0.943	0.0745	0.535	"ADCY3,ADCY5,GNA14,GNAO1,GUCY1A1,MAPK10,PIK3C2G,PLA2G4A,PLA2G4C,PLAAT3,PLCB4,PLCD3,PLCH2,SHC3"
Xenobiotic Metabolism Signaling	0.939	0.0697	#NUM!	"ABCB1,ABCC2,ALDH1A2,ALDH1A3,ALDH4A1,CAMK2B,CES1,CHST3,CHST7,FMO1,FMO3,GSTA1,GSTM5,HS6ST1,IL1B,MAP2K6,MAP3K6,MGST1,PIK3C2G,SOD3"
Regulation of Actin-based Motility by Rho	0.932	0.0851	2.646	"GSN,ITGA2,ITGA3,ITGA5,PAK6,RHOJ,RHOV,RND3"
CCR5 Signaling in Macrophages	0.932	0.0851	#NUM!	"CACNA2D1,CACNA2D3,CACNB1,CACNB2,CALML5,FAS,GNG2,MAPK10"
IL-6 Signaling	0.932	0.08	1.667	"A2M,ABCB1,HSPB1,HSPB7,IL1B,LBP,MAP2K6,MAPK10,NGFR,PIK3C2G"
NRF2-mediated Oxidative Stress Response	0.928	0.0741	0.447	"ABCC1,ABCC2,CYP4Z1,DNAJB1,DNAJB7,ENC1,FMO1,GCLM,GSTA1,GSTM5,MAP2K6,MGST1,PIK3C2G,SOD3"
PXR/RXR Activation	0.914	0.0923	#NUM!	"ABCB1,ABCC2,ALAS1,GSTA1,PAPSS2,PRKACB"
FAK Signaling	0.914	0.0842	#NUM!	"ARHGEF6,CAPN5,CAPN6,ITGA2,ITGA3,ITGA5,PAK6,PIK3C2G"
Nicotine Degradation II	0.914	0.0923	1.633	"CYP2S1,CYP4B1,CYP4F8,CYP4X1,FMO1,FMO3"
Notch Signaling	0.903	0.108	1	"JAG1,JAG2,LFNG,NOTCH1"
14-3-3-mediated Signaling	0.9	0.0787	1.134	"BAX,GFAP,MAPK10,MAPT,PIK3C2G,PLCB4,PLCD3,PLCH2,SFN,TUBA1A"
Thrombin Signaling	0.896	0.0721	0.577	"ADCY3,ADCY5,ARHGEF6,CAMK2B,F2R,GNA14,GNAO1,GNG2,PIK3C2G,PLCB4,PLCD3,PLCH2,RHOJ,RHOV,RND3"
eNOS Signaling	0.896	0.0755	0.333	"ADCY3,ADCY5,BDKRB2,CALML5,CAV1,CNGA1,GUCY1A1,NOSTRIN,PGF,PIK3C2G,PRKACB,PRKAG3"
Glutathione Redox Reactions I	0.896	0.125	#NUM!	"GPX3,GSTA1,MGST1"
Glycogen Degradation II	0.896	0.167	#NUM!	"PGM5,PYGL"
Clathrin-mediated Endocytosis Signaling	0.876	0.0725	#NUM!	"APOD,APOE,F2R,FGF1,FGF10,FGF2,FGF7,ITGA5,ITGB3,ITGB6,MDM2,PGF,PIK3C2G,STON2"
ATM Signaling	0.876	0.0825	-0.816	"BLM,CHEK1,GADD45A,MAPK10,MDM2,RAD51,RBBP8,SMC1B"
ERK/MAPK Signaling	0.876	0.0725	1.069	"DUSP4,DUSP9,HSPB1,HSPB7,ITGA2,ITGA3,ITGA5,PAK6,PIK3C2G,PLA2G4A,PLA2G4C,PPP1R14C,PRKACB,RAPGEF4"
Docosahexaenoic Acid (DHA) Signaling	0.873	0.105	#NUM!	"BAX,IL1B,PIK3C2G,SERPINF1"
"Tryptophan Degradation X (Mammalian, via Tryptamine)"	0.857	0.12	#NUM!	"ALDH1A2,ALDH1A3,ALDH4A1"
G_12/13 Signaling	0.851	0.0769	-1.265	"CDH13,CDH15,CDH17,CDH19,CDH24,CDH3,F2R,MAPK10,PIK3C2G,TEC"
Leukotriene Biosynthesis	0.839	0.154	#NUM!	"DPEP1,GGT5"
Apelin Endothelial Signaling Pathway	0.836	0.0783	-0.707	"ADCY3,ADCY5,CALML5,GNAO1,MAPK10,PIK3C2G,PLCB4,PRKAG3,TEK"
L-carnitine Biosynthesis	0.83	0.333	#NUM!	BBOX1
Proline Degradation	0.83	0.333	#NUM!	ALDH4A1
Glutathione Biosynthesis	0.83	0.333	#NUM!	GCLM
Methionine Salvage II (Mammalian)	0.83	0.333	#NUM!	BHMT2
L-serine Degradation	0.83	0.333	#NUM!	SDS
FGF Signaling	0.83	0.0833	1.89	"FGF1,FGF10,FGF2,FGF7,FGFR1,MAP2K6,PIK3C2G"
Apelin Liver Signaling Pathway	0.821	0.115	#NUM!	"COL18A1,FAS,MAPK10"
IL-8 Signaling	0.793	0.07	2.673	"BAX,CCND1,CCND2,GNG2,IRAK3,ITGB3,MAPK10,MMP2,PGF,PIK3C2G,RHOJ,RHOV,RND3,TEK"
Adipogenesis pathway	0.793	0.0746	#NUM!	"BMP2,BMP7,FGF1,FGF2,FGFR1,FZD1,HDAC9,RUNX1T1,SMO,WNT5A"
p38 MAPK Signaling	0.79	0.0763	2.121	"FAS,HSPB1,HSPB7,IL1B,IRAK3,MAP2K6,MAPT,PLA2G4A,PLA2G4C"
Glycogen Degradation III	0.788	0.143	#NUM!	"PGM5,PYGL"
Actin Cytoskeleton Signaling	0.78	0.0688	1.667	"ARHGEF6,F2R,FGF1,FGF10,FGF2,FGF7,GSN,ITGA2,ITGA3,ITGA5,LBP,PAK6,PIK3C2G,TIAM1,TTN"
Hepatic Cholestasis	0.772	0.0703	#NUM!	"ABCB1,ABCC1,ABCC2,ADCY3,ADCY5,IL1B,IRAK3,LBP,MAPK10,NGFR,PRKACB,TNFSF15,TNFSF8"
Actin Nucleation by ARP-WASP Complex	0.764	0.0833	2.449	"ITGA2,ITGA3,ITGA5,RHOJ,RHOV,RND3"
Ephrin B Signaling	0.764	0.0833	1.342	"CXCL12,EFNB3,EPHB3,GNA14,GNAO1,GNG2"
Intrinsic Prothrombin Activation Pathway	0.759	0.0952	2	"COL18A1,F5,KLK10,KLK7"
tRNA Splicing	0.735	0.093	-1	"GDPD1,PDE2A,PDE3A,PDE4D"
Cancer Drug Resistance By Drug Efflux	0.735	0.0862	#NUM!	"ABCB1,ABCC1,ABCC2,ABCG2,MDM2"
Phospholipase C Signaling	0.728	0.0661	1.291	"ADCY3,ADCY5,ARHGEF6,CALML5,GNG2,HDAC9,ITGA2,ITGA3,ITGA5,PLA2G4A,PLA2G4C,PLCB4,PLCD3,RHOJ,RHOV,RND3,TGM2"
ILK Signaling	0.714	0.0684	2.887	"ARHGEF6,BMP2,CCND1,ITGB3,ITGB6,MAP2K6,MAPK10,PGF,PIK3C2G,RHOJ,RHOV,RND3,SNAI2"
Phenylethylamine Degradation I	0.714	0.25	#NUM!	AOC3
Arginine Degradation I (Arginase Pathway)	0.714	0.25	#NUM!	ALDH4A1
L-cysteine Degradation I	0.714	0.25	#NUM!	CDO1
Acetate Conversion to Acetyl-CoA	0.714	0.25	#NUM!	ACSS3
Apelin Pancreas Signaling Pathway	0.71	0.0909	#NUM!	"MAPK10,PIK3C2G,PRKACB,PRKAG3"
Retinoic acid Mediated Apoptosis Signaling	0.695	0.0833	#NUM!	"CRABP2,RXRG,TIPARP,TNFRSF10A,TNFRSF10C"
Parkinson's Signaling	0.695	0.125	#NUM!	"SEPTIN5,UCHL1"
Dopamine Degradation	0.69	0.1	#NUM!	"ALDH1A2,ALDH1A3,ALDH4A1"
Induction of Apoptosis by HIV1	0.676	0.082	2.236	"BAX,BBC3,FAS,MAPK10,NGFR"
PTEN Signaling	0.676	0.0714	-3	"CCND1,FGFR1,INPP5D,ITGA2,ITGA3,ITGA5,NGFR,NTRK2,NTRK3"
Antiproliferative Role of Somatostatin Receptor 2	0.674	0.0779	#NUM!	"GNG2,GUCY1A1,NPR1,NPR3,PIK3C2G,SSTR2"
P2Y Purigenic Receptor Signaling Pathway	0.664	0.0709	0.707	"ADCY3,ADCY5,GNG2,ITGB3,PIK3C2G,PLCB4,PLCD3,PLCH2,PRKACB"
VDR/RXR Activation	0.656	0.0769	#NUM!	"CAMP,CYP24A1,GADD45A,HSD17B2,IGFBP6,RXRG"
Ephrin A Signaling	0.642	0.0851	#NUM!	"EPHA3,EPHA7,NGFR,PIK3C2G"
Neuregulin Signaling	0.631	0.0729	2	"DCN,DLG4,ITGA2,ITGA3,ITGA5,NRG1,NRG2"
Creatine-phosphate Biosynthesis	0.629	0.2	#NUM!	CKMT2
"Tetrahydrofolate Salvage from 5,10-methenyltetrahydrofolate"	0.629	0.2	#NUM!	MTHFD1L
Myo-inositol Biosynthesis	0.629	0.2	#NUM!	ISYNA1
Galactose Degradation I (Leloir Pathway)	0.629	0.2	#NUM!	GALM
Tyrosine Degradation I	0.629	0.2	#NUM!	HGD
Folate Polyglutamylation	0.629	0.2	#NUM!	MTHFD1L
Role of MAPK Signaling in the Pathogenesis of Influenza	0.623	0.075	#NUM!	"BAX,MAP2K6,MAPK10,PLA2G4A,PLA2G4C,PLAAT3"
Chondroitin Sulfate Biosynthesis (Late Stages)	0.622	0.0833	2	"CHST3,CHST7,CHSY3,HS6ST1"
Methylglyoxal Degradation III	0.618	0.111	#NUM!	"AKR1C1/AKR1C2,AKR1C3"
HMGB1 Signaling	0.616	0.0667	1.667	"IL1B,MAP2K6,MAPK10,NGFR,PIK3C2G,PLAT,RHOJ,RHOV,RND3,TNFSF15,TNFSF8"
Circadian Rhythm Signaling	0.609	0.0909	#NUM!	"GRIN2A,GRIN2B,GRIN2C"
ErbB2-ErbB3 Signaling	0.602	0.0769	1.342	"CCND1,ETV4,NRG1,NRG2,PIK3C2G"
Netrin Signaling	0.602	0.0769	-0.447	"CACNA2D1,CACNA2D3,CACNB1,CACNB2,PRKACB"
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	0.6	0.0816	0	"CHEK1,GADD45A,MDM2,SFN"
Inhibition of Angiogenesis by TSP1	0.585	0.0882	#NUM!	"GUCY1A1,MAPK10,SDC1"
Amyloid Processing	0.58	0.08	#NUM!	"CAPN5,CAPN6,MAPT,PRKACB"
Serotonin Degradation	0.569	0.0746	1.342	"ADH1C,ADHFE1,ALDH1A2,ALDH1A3,ALDH4A1"
Cell Cycle: G1/S Checkpoint Regulation	0.569	0.0746	-1.342	"CCND1,CCND2,HDAC9,MDM2,NRG1"
VEGF Family Ligand-Receptor Interactions	0.564	0.0714	1	"NRP1,NRP2,PGF,PIK3C2G,PLA2G4A,PLA2G4C"
NAD Biosynthesis from 2-amino-3-carboxymuconate Semialdehyde	0.561	0.167	#NUM!	QPRT
Chondroitin and Dermatan Biosynthesis	0.561	0.167	#NUM!	CHSY3
UDP-N-acetyl-D-glucosamine Biosynthesis II	0.561	0.167	#NUM!	FMO3
Lactose Degradation III	0.561	0.167	#NUM!	GBA3
Cardiomyocyte Differentiation via BMP Receptors	0.553	0.1	#NUM!	"BMP2,BMP7"
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	0.553	0.0672	#NUM!	"BMP2,BMP7,FZD1,PIK3C2G,SMO,SOX2,TCF7L1,WNT5A"
The Visual Cycle	0.553	0.1	#NUM!	"AKR1C3,RDH5"
HIPPO signaling	0.55	0.0706	-1	"AJUBA,CRB1,DLG4,PPP1R14C,RASSF6,SFN"
Iron homeostasis signaling pathway	0.545	0.0657	#NUM!	"ALAS2,ATP6V0A4,BMP2,BMP7,CD163,CYBRD1,GDF15,HBA1/HBA2,LRP1"
D-myo-inositol-5-phosphate Metabolism	0.529	0.0641	0.632	"ALPL,CA3,NUDT11,NUDT4,PLCB4,PLCD3,PPFIA2,PPP1R1C,PTPN13,PTPRM"
PI3K/AKT Signaling	0.516	0.0629	1.89	"CCND1,GDF15,IL12RB2,IL17RD,IL17RE,INPP5D,ITGA2,ITGA3,ITGA5,MDM2,SFN"
RANK Signaling in Osteoclasts	0.51	0.0682	0.816	"CALML5,GSN,MAP2K6,MAP3K6,MAPK10,PIK3C2G"
G_q Signaling	0.51	0.0633	0.632	"ARHGEF25,CALML5,GNA14,GNG2,HRH1,PIK3C2G,PLCB4,RHOJ,RHOV,RND3"
Transcriptional Regulatory Network in Embryonic Stem Cells	0.509	0.0741	#NUM!	"H4C3,L1CAM,SOX2,TCF7L1"
RAR Activation	0.506	0.0619	#NUM!	"ADCY3,ADCY5,ADH1C,AKR1C3,ALDH1A2,ALDH1A3,BMP2,CRABP2,MAPK10,PRKACB,RDH5,RXRG"
Glycogen Biosynthesis II (from UDP-D-Glucose)	0.506	0.143	#NUM!	GYG2
Type II Diabetes Mellitus Signaling	0.493	0.0634	#NUM!	"CACNA2D1,CACNA2D3,CACNB1,CACNB2,MAPK10,NGFR,PIK3C2G,PRKAG3,SOCS2"
Role of IL-17A in Arthritis	0.492	0.0727	#NUM!	"CCL20,MAP2K6,MAPK10,PIK3C2G"
Virus Entry via Endocytic Pathways	0.489	0.0654	#NUM!	"CAV1,ITGA2,ITGA3,ITGA5,ITGB3,ITGB6,PIK3C2G"
NF-_B Signaling	0.48	0.0615	0.302	"BMP2,FGFR1,IL1B,IRAK3,MAP2K6,NGFR,NTRK2,NTRK3,PIK3C2G,PRKACB,TLR6"
Nicotine Degradation III	0.476	0.0714	1	"CYP2S1,CYP4B1,CYP4F8,CYP4X1"
Chondroitin Sulfate Biosynthesis	0.476	0.0714	2	"CHST3,CHST7,CHSY3,HS6ST1"
Superpathway of Inositol Phosphate Compounds	0.472	0.0606	0	"ALPL,CA3,INPP5D,NUDT11,NUDT4,PIK3C2G,PLCB4,PLCD3,PPFIA2,PPP1R1C,PTPN13,PTPRM"
Differential Regulation of Cytokine Production in Intestinal Epithelial Cells by IL-17A and IL-17F	0.47	0.087	#NUM!	"IL1B,LCN2"
Apelin Cardiac Fibroblast Signaling Pathway	0.47	0.087	#NUM!	"PRKAG3,SPHK1"
Pancreatic Adenocarcinoma Signaling	0.467	0.0642	0.816	"CCND1,MAPK10,MDM2,NOTCH1,PGF,PIK3C2G,RAD51"
Antioxidant Action of Vitamin C	0.467	0.0642	-1.89	"MAPK10,PLA2G4A,PLA2G4C,PLAAT3,PLCB4,PLCD3,PLCH2"
Airway Pathology in Chronic Obstructive Pulmonary Disease	0.458	0.125	#NUM!	MMP2
Histidine Degradation III	0.458	0.125	#NUM!	MTHFD1L
TREM1 Signaling	0.453	0.0667	0.447	"IL1B,ITGA5,NLRP3,NLRP6,TLR6"
Dendritic Cell Maturation	0.447	0.0601	1.508	"COL18A1,DDR2,FSCN1,IL1B,LEPR,MAPK10,NGFR,PIK3C2G,PLCB4,PLCD3,PLCH2"
HGF Signaling	0.446	0.0631	1.89	"CCND1,ITGA2,ITGA3,ITGA5,MAP3K6,MAPK10,PIK3C2G"
Type I Diabetes Mellitus Signaling	0.446	0.0631	0.816	"CPE,FAS,IL1B,MAP2K6,MAPK10,NGFR,SOCS2"
Tumoricidal Function of Hepatic Natural Killer Cells	0.446	0.0833	#NUM!	"BAX,FAS"
Pyrimidine Ribonucleotides Interconversion	0.442	0.0732	#NUM!	"BLM,CTPS1,NME5"
GDNF Family Ligand-Receptor Interactions	0.44	0.0658	1.342	"DOK1,GFRA2,GFRA3,MAPK10,PIK3C2G"
Toll-like Receptor Signaling	0.44	0.0658	#NUM!	"IL1B,IRAK3,LBP,MAP2K6,TLR6"
Neurotrophin/TRK Signaling	0.44	0.0658	#NUM!	"MAP2K6,NGFR,NTRK2,NTRK3,PIK3C2G"
Melanocyte Development and Pigmentation Signaling	0.438	0.0638	0.816	"ADCY3,ADCY5,KIT,PIK3C2G,POMC,PRKACB"
ErbB Signaling	0.438	0.0638	1.633	"MAP2K6,MAPK10,NRG1,NRG2,PAK6,PIK3C2G"
Rac Signaling	0.437	0.0625	1.633	"ANK1,ITGA2,ITGA3,ITGA5,PAK6,PIK3C2G,TIAM1"
Dermatan Sulfate Biosynthesis	0.432	0.0678	2	"CHST3,CHST7,CHSY3,HS6ST1"
MIF Regulation of Innate Immunity	0.426	0.0714	#NUM!	"MAPK10,PLA2G4A,PLA2G4C"
Retinol Biosynthesis	0.426	0.0714	#NUM!	"AKR1C3,CEL,CES1"
IL-17A Signaling in Gastric Cells	0.424	0.08	#NUM!	"CCL20,MAPK10"
"D-myo-inositol (1,4,5)-Trisphosphate Biosynthesis"	0.424	0.08	#NUM!	"PLCB4,PLCD3"
Melatonin Degradation I	0.418	0.0667	1	"CYP2S1,CYP4B1,CYP4F8,CYP4X1"
Leucine Degradation I	0.418	0.111	#NUM!	HMGCLL1
Folate Transformations I	0.418	0.111	#NUM!	MTHFD1L
PCP pathway	0.418	0.0667	1	"FZD1,MAPK10,SMO,WNT5A"
_-Adrenergic Signaling	0.416	0.0625	#NUM!	"ADCY3,ADCY5,CALML5,GNG2,PRKACB,PYGL"
TGF-_ Signaling	0.416	0.0625	#NUM!	"AMH,BMP2,BMP7,INHBA,MAP2K6,PMEPA1"
Pyrimidine Ribonucleotides De Novo Biosynthesis	0.409	0.0698	#NUM!	"BLM,CTPS1,NME5"
Serotonin Receptor Signaling	0.409	0.0698	#NUM!	"ADCY3,ADCY5,HTR4"
BAG2 Signaling Pathway	0.409	0.0698	#NUM!	"CTSB,MAPT,MDM2"
Thyroid Cancer Signaling	0.405	0.0633	1.342	"CCND1,NTRK2,NTRK3,PIK3C2G,TCF7L1"
UVA-Induced MAPK Signaling	0.395	0.0612	0	"MAPK10,PIK3C2G,PLCB4,PLCD3,PLCH2,TIPARP"
IL-23 Signaling Pathway	0.394	0.0682	#NUM!	"IL12RB2,IL1B,PIK3C2G"
Role of BRCA1 in DNA Damage Response	0.393	0.0625	0.447	"BLM,CHEK1,GADD45A,RAD51,RBBP8"
Chemokine Signaling	0.393	0.0625	-1.342	"CALML5,CAMK2B,CXCL12,PIK3C2G,PLCB4"
Role of PKR in Interferon Induction and Antiviral Response	0.388	0.0598	1	"BAX,FAS,IL1B,MAP2K6,MAPK10,PYCARD,SCARA5"
Role of Tissue Factor in Cancer	0.388	0.0598	#NUM!	"F3,FGR,GNA14,IL1B,ITGA3,ITGB3,PIK3C2G"
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	0.386	0.0584	0.378	"C1QA,C1QC,IL1B,MAPK10,NLRP3,PIK3C2G,TLR6,TNFSF15,TNFSF8"
Apelin Cardiomyocyte Signaling Pathway	0.385	0.0606	0	"MAPK10,PIK3C2G,PLCB4,PLCD3,PLCH2,SLC9A3"
Embryonic Stem Cell Differentiation into Cardiac Lineages	0.383	0.1	#NUM!	SOX2
Calcium Transport I	0.383	0.1	#NUM!	ATP2C2
Renin-Angiotensin Signaling	0.379	0.0593	0.447	"ADCY3,ADCY5,MAPK10,PAK6,PIK3C2G,PRKACB,SHC3"
iNOS Signaling	0.379	0.0667	#NUM!	"CALML5,IRAK3,LBP"
3-phosphoinositide Degradation	0.379	0.0581	0.333	"ALPL,CA3,INPP5D,NUDT11,NUDT4,PPFIA2,PPP1R1C,PTPN13,PTPRM"
NF-_B Activation by Viruses	0.371	0.061	1.342	"ITGA2,ITGA3,ITGA5,ITGB3,PIK3C2G"
PEDF Signaling	0.371	0.061	0.447	"ARHGAP22,FAS,PIK3C2G,SERPINF1,TCF7L1"
Cholecystokinin/Gastrin-mediated Signaling	0.37	0.0588	1.134	"IL1B,MAP2K6,MAPK10,PLCB4,RHOJ,RHOV,RND3"
Dermatan Sulfate Biosynthesis (Late Stages)	0.365	0.0652	#NUM!	"CHST3,CHST7,HS6ST1"
IL-17A Signaling in Airway Cells	0.356	0.0615	#NUM!	"CCL20,MAPK10,MUC5B,PIK3C2G"
Superpathway of Melatonin Degradation	0.356	0.0615	1	"CYP2S1,CYP4B1,CYP4F8,CYP4X1"
Ketogenesis	0.352	0.0909	#NUM!	HMGCLL1
GDP-glucose Biosynthesis	0.352	0.0909	#NUM!	PGM5
Hereditary Breast Cancer Signaling	0.351	0.0571	#NUM!	"BLM,CCND1,CHEK1,GADD45A,HDAC9,PIK3C2G,RAD51,SFN"
Stearate Biosynthesis I (Animals)	0.351	0.0638	#NUM!	"DHCR24,ELOVL2,THEM5"
Role of p14/p19ARF in Tumor Suppression	0.347	0.069	#NUM!	"MDM2,PIK3C2G"
Sumoylation Pathway	0.347	0.0583	-0.816	"FAS,MAPK10,MDM2,RHOJ,RHOV,RND3"
"D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis"	0.343	0.0567	0.707	"ALPL,CA3,NUDT11,NUDT4,PPFIA2,PPP1R1C,PTPN13,PTPRM"
"D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis"	0.343	0.0567	0.707	"ALPL,CA3,NUDT11,NUDT4,PPFIA2,PPP1R1C,PTPN13,PTPRM"
BMP signaling pathway	0.341	0.0588	0.447	"BMP2,BMP7,CHRD,MAPK10,PRKACB"
Huntington's Disease Signaling	0.333	0.0549	0	"BAX,CAPN5,CAPN6,DLG4,DNAJB1,GNA14,GNG2,GRIN2B,HAP1,HDAC9,PIK3C2G,PLCB4,TGM2"
CCR3 Signaling in Eosinophils	0.329	0.0565	0.447	"CALML5,GNG2,PAK6,PIK3C2G,PLA2G4A,PLA2G4C,PLCB4"
Glucose and Glucose-1-phosphate Degradation	0.324	0.0833	#NUM!	PGM5
NAD biosynthesis II (from tryptophan)	0.324	0.0833	#NUM!	QPRT
Guanosine Nucleotides Degradation III	0.324	0.0833	#NUM!	ACPP
Mineralocorticoid Biosynthesis	0.324	0.0833	#NUM!	GSTA1
G Protein Signaling Mediated by Tubby	0.314	0.0645	#NUM!	"GNG2,PLCB4"
Melanoma Signaling	0.312	0.06	#NUM!	"CCND1,MDM2,PIK3C2G"
SPINK1 General Cancer Pathway	0.312	0.058	-2	"MT1E,MT1F,MT1M,PIK3C2G"
3-phosphoinositide Biosynthesis	0.308	0.0545	0.333	"ALPL,CA3,NUDT11,NUDT4,PIK3C2G,PPFIA2,PPP1R1C,PTPN13,PTPRM"
Acute Myeloid Leukemia Signaling	0.304	0.0562	1.342	"CCND1,KIT,MAP2K6,PIK3C2G,TCF7L1"
Crosstalk between Dendritic Cells and Natural Killer Cells	0.304	0.0562	1	"CAMK2B,CD209,FAS,FSCN1,KLRC4-KLRK1/KLRK1"
Sertoli Cell-Sertoli Cell Junction Signaling	0.303	0.0541	#NUM!	"A2M,CLDN11,GUCY1A1,ITGA2,ITGA3,ITGA5,MAP3K6,MAPK10,PRKACB,TUBA1A"
Role of IL-17A in Psoriasis	0.3	0.0769	#NUM!	CCL20
Acyl-CoA Hydrolysis	0.3	0.0769	#NUM!	THEM5
Oleate Biosynthesis II (Animals)	0.3	0.0769	#NUM!	SCD5
Cholesterol Biosynthesis I	0.3	0.0769	#NUM!	DHCR24
Urate Biosynthesis/Inosine 5'-phosphate Degradation	0.3	0.0769	#NUM!	ACPP
NAD Phosphorylation and Dephosphorylation	0.3	0.0769	#NUM!	ACPP
"Cholesterol Biosynthesis II (via 24,25-dihydrolanosterol)"	0.3	0.0769	#NUM!	DHCR24
Cholesterol Biosynthesis III (via Desmosterol)	0.3	0.0769	#NUM!	DHCR24
Pregnenolone Biosynthesis	0.3	0.0769	#NUM!	CYP26B1
Glucocorticoid Biosynthesis	0.3	0.0769	#NUM!	GSTA1
Growth Hormone Signaling	0.292	0.0563	#NUM!	"A2M,IGF2,PIK3C2G,SOCS2"
p70S6K Signaling	0.292	0.0543	0	"F2R,MAPT,PIK3C2G,PLCB4,PLCD3,PLCH2,SFN"
