Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
NEO1	0.657	transcription regulator	 	 	 	0.018	"CDH1,MMP16,PMP22,RGS6"	 
PPARGC1A	0.651	transcription regulator	Inhibited	-4.814	 	0.000249	"AGT,APOD,ASPN,CCN4,CDKN1A,COL6A3,COMP,CPXM1,CXCL14,DCN,FBLN1,FBXO32,FIBIN,FREM1,GDF15,GRIN2C,IGFBP7,ISM1,LAMA2,LUM,MMP2,NCEH1,OGN,OLFML3,PCSK5,PDK4,PODN,POSTN,PTN,SVEP1,THY1,TIMP2,VCAN,XDH"	348 (12)
CTNNB1	0.639	transcription regulator	Activated	3.893	bias	4.43E-12	"AGRN,ALDH1A2,ANXA1,AOC3,APOD,AQP4,AXIN2,BGN,BIRC5,BMP7,CA3,CACNA1G,CCN4,CCNA2,CDH1,CDH11,CDKN1A,COL4A5,COL4A6,CRABP2,CTNND2,CXCL12,CXCL14,CYP19A1,CYP1B1,CYP24A1,ECM1,ECRG4,EDIL3,EDN3,EPCAM,EPHA5,EPHB3,ETV4,FN1,FOXQ1,FSTL3,GALM,GATA2,GDF15,GLI2,GLI3,GNAO1,GPX2,GRHL2,HTRA1,ID4,IDO1,IGF2,IGFBP2,KIFC1,KIT,KRT5,L1CAM,LAMC2,LGR5,LY6E,MEOX1,MFGE8,MMP16,MMP2,MMP7,MMP9,MPZL2,NCAM1,NES,NGFR,NOTCH1,NRCAM,OGN,PITX2,PMP22,PROM1,RPL39,SAA1,SCGB2A2,SCNN1B,SERPINA5,SERPINB2,SFRP1,SFRP4,SLC12A2,SMAD6,SNAI1,SNAI2,SOX11,SOX9,SPP1,SPRY4,SUSD2,TFCP2L1,TGFB3,TP63,TP73,TSPAN8,VCAN,WNT7B"	303 (13)
CCR1	0.637	G-protein coupled receptor	 	0.557	bias	0.00173	"CTSV,ITGB3,MMP2,MMP9,SPARC,SPP1"	363 (21)
PRKACA	0.628	kinase	 	1.367	bias	0.0247	"CYP19A1,NGF,OXTR,PRKACB,SDC1,SFRP4"	 
EBF2	0.623	transcription regulator	Activated	2.224	bias	0.00675	"ADAMTS15,MEOX1,NTM,SFRP4,THBS4"	 
ITGA6	0.61	transmembrane receptor	 	0.625	bias	0.00189	"BIRC5,ITGA2,ITGA3,ITGA7,LGR5"	353 (16)
PPP1R13L	0.608	transcription regulator	 	1.23	 	0.0000308	"CDKN1A,CLDN1,DSC3,DSP,ITGA3,PKP1,TP63"	 
FOXA1	0.598	transcription regulator	 	-1.398	 	0.0000718	"AGR2,ANXA1,ASTN1,CDH1,CDKN1A,COL18A1,CPS1,DCX,H19,JAG1,MUC4,MUC5B,MYOCD,NES,PDGFRB,PPP1R14C,SLC12A2,SNAI2,SOX9,TFF3,WNT7B"	393 (19)
CSF1	0.595	cytokine	 	1.942	bias	0.00193	"BIRC5,CCNB1,CCR5,CDKN1A,COL23A1,DUSP4,EGR2,EGR3,F2RL2,FN1,GAS7,GDF15,GPT,IL1RL1,ITGB3,KLF2,MMP12,MMP16,MMP9,PTPRZ1,SERPINB2,SFRP1,SPARC,SPP1"	395 (21)
CEBPB	0.587	transcription regulator	Activated	3.009	bias	1.52E-08	"AGT,AKR1C3,ALDH1A2,CCNA2,CCR5,CDH3,CDKN1A,COL5A2,CP,CYP19A1,CYP24A1,DCN,EDIL3,FBLN1,FBXO32,FHL1,FZD1,GSTA1,H4C2,H4C4,H4C6,H4C8,HDC,HP,IGFBP4,KRT15,KRT6B,LBP,LCN2,LEPR,MIA,MMP11,MYBL2,NRP1,OXTR,PDK4,PI3,PLA2G2A,PTGES,RGS4,SAA1,SAA2,SEMA3E,SERPINB2,SLC12A2,SPP1,VCAN,VDR,XDH,XIST"	390 (20)
ERG	0.58	transcription regulator	 	1.983	bias	0.0151	"APOC1,AXIN2,CCNA2,CDH1,CHRNB2,FHL1,GFRA3,GUCY1A1,MMP9,NLGN1,NRCAM,PLAT,PSTPIP2,RHOJ,SNAI1,SOX9,SPARC,SPP1"	 
PTAFR	0.579	G-protein coupled receptor	 	-0.069	bias	0.000538	"BIRC5,CDH1,MCAM,MMP2,MMP9,SNAI1"	348 (21)
EPHB4	0.573	kinase	 	1.732	bias	0.00000523	"BMP7,GATA2,IGF2,IGFBP4,KIT,NCAM1,NCAM2,PAX9,PLP1,SMAD6,TBX2,TGFB2"	 
SATB2	0.567	transcription regulator	 	-0.479	 	0.00042	"BHLHE22,CDH3,CDH6,MMP16,NOX4,PRRX1,PWWP3B,SPP1,TM4SF18"	231 (7)
WWTR1	0.561	transcription regulator	 	-1.241	bias	0.00531	"CCNA2,CDKN1A,FGF10,FN1,NEGR1,SPP1,THY1,TP63"	126 (6)
GDF9	0.559	growth factor	 	1.067	bias	0.0377	"CYP19A1,KIT,LOX,SMAD6,VCAN"	 
CDKN2A	0.558	transcription regulator	Activated	2.226	 	0.00365	"A2M,BIRC5,CCL18,CCL22,CCNA2,CCNB1,CDK1,CDKN1A,CPA4,CX3CL1,CXCL14,EGR2,FGFR1,FMN2,GAS7,HUNK,ITGB3,KIFC1,MMP2,MMP9,MYBL2,NKX3-1,PDGFRB,TP63,ZMAT3,ZNF385A"	404 (20)
FZD8	0.557	G-protein coupled receptor	 	1.103	 	0.0104	"BIRC5,CDH1,FN1,VCAN"	 
CEBPA	0.557	transcription regulator	Activated	2.024	 	0.000067	"A2M,ADH1A,AGT,AKR1C3,ANPEP,ANXA1,CAMP,CCL20,CCNA2,CDH1,CDKN1A,CPS1,CRABP2,CYP19A1,EEF1A2,EGR2,FHL1,FZD1,GATA2,HP,IFI27,IFI6,IGFBP4,IRF6,LCN2,LEPR,LTF,MMRN1,MYBL2,NRP1,OXTR,RIN1,SAA1,SEMA3E,SERPINB2,SERPINB5,SERPINF1,SPP1,TFAP2A,TGFB2,VCAN,VDR"	443 (21)
DCLK1	0.555	kinase	 	 	 	0.0111	"NOTCH1,SNAI1,SNAI2"	 
LHX6	0.552	transcription regulator	 	 	 	0.032	"GUCY1A1,PITX2"	 
TEAD3	0.548	transcription regulator	 	1.969	bias	0.00058	"BBOX1,COL5A2,EDNRA,FIBIN,FJX1,LOXL1,NRXN2,POSTN,TP63"	 
CNTF	0.539	cytokine	 	1.203	 	0.00828	"A2M,FGFR1,LBP,NGF,NGFR,NOTCH1,NTRK1,PDE10A,PDE1B,VIP"	242 (13)
RUNX3	0.539	transcription regulator	 	-1.244	bias	5.01E-08	"BIRC5,CAPN6,CDH11,CDKN1A,CHST3,FMN2,GLI2,JAG1,LOX,MID1,MMP2,MMP9,NEGR1,PAPPA,RNF150,SGCD,SNAI2,SPP1,SVEP1,TGFB2,THY1,TIMP2,TPSAB1/TPSB2"	335 (14)
HLX	0.536	transcription regulator	 	-1.937	bias	0.000966	"CCNB1,CLDN1,CYP1B1,GDF15,PAPPA,THY1,UNC5B"	 
PDLIM1	0.535	transcription regulator	 	 	 	0.0137	"CDH1,SNAI1"	 
CLDN4	0.535	transmembrane receptor	 	 	 	0.00706	"CDH1,CLDN1"	 
IL1RAP	0.531	transmembrane receptor	 	 	 	0.0486	"CCL20,IL1RL1,KIT"	 
SOX2	0.521	transcription regulator	 	1.338	 	1.05E-08	"ABCC6,AQP4,AXIN2,BCAS1,BIRC5,CCN4,CCN5,CDH1,CDKN1A,CHADL,CHST3,CLDN11,CRABP2,CXCL14,DKK3,DLX5,DSP,DUSP4,EPCAM,ETV4,ETV5,FABP7,FAM107B,FOXD3,FRZB,GATA2,GLI2,GLI3,H19,IER5,IER5L,IRF6,JAG1,KRT19,NOTCH1,NRARP,NRP1,PHLDB1,PITX2,PLP1,PROM1,RND2,SEMA3D,SGK2,SLC12A2,SNAI1,SNX22,SOX6,SPRY4,TGFB2,TGFB3,TP63,TWIST2,VCAN"	332 (17)
ATF3	0.519	transcription regulator	 	-0.039	 	0.0136	"CDK1,CDKN1A,CX3CL1,DNM3OS,GBP6,HSPB1,KRT19,MMP2,PTGES,SERPINB5,TP73"	 
AMH	0.518	growth factor	 	0.447	 	0.00946	"CDKN1A,CYP19A1,MMP2,SMAD6,SMAD9"	 
TGFB1I1	0.518	transcription regulator	 	0.943	bias	0.00563	"CDKN1A,FN1,KRT19,LTBP2,NOX4"	286 (14)
MTF1	0.515	transcription regulator	 	 	 	0.0147	"MMP12,MMP9,PGF"	 
MPP3	0.512	kinase	 	 	 	0.0494	NECTIN1	 
CCN2	0.51	growth factor	Activated	2.414	bias	0.000219	"ACAN,BIRC5,CCN3,COL8A1,DCN,EGLN3,EMILIN1,FN1,IGF2,LOX,MMP2,MMP9,PTH1R,SFRP4,SPARC"	398 (23)
HBEGF	0.509	growth factor	 	0.6	bias	0.0203	"CDH1,ELN,MMP9,NES,NRP1,PDK4"	 
EBF4	0.508	transcription regulator	 	 	 	0.0494	CDKN1A	 
NFAT5	0.507	transcription regulator	 	1.97	bias	0.00959	"CCN4,IGFBP7,LCN2,NOX4,PLAT,PTGES,PTGFRN,SLC6A6,SLC7A2,SPP1,TNFRSF21"	 
LATS2	0.5	kinase	 	-1.706	 	0.0000473	"CCNB1,CDH1,CDKN1A,CYP24A1,EPCAM,KIT,KRT19,LTF,SNAI1"	340 (18)
TREM1	0.499	transmembrane receptor	 	1.303	bias	0.0191	"ADORA2B,CCL18,CCL20,CDK1,CFB,DUSP4,E2F7,EGR2,EGR3,HES4,IDO1,IL1RL1,NT5E,RGS13,SERPINB2,SPP1,TNFSF15"	 
CCR2	0.496	G-protein coupled receptor	Activated	3.964	bias	6.93E-09	"AEBP1,ASPN,B3GAT2,BGN,CCL22,CCR5,COL6A3,CX3CL1,CXCL12,DCN,FBLN1,FN1,GPT,LUM,MMP2,MMP9,OGN,PCOLCE,PRELP,SPARC,TGFB2,TIMP2,VCAN"	423 (20)
TLR7	0.494	transmembrane receptor	 	-0.333	bias	0.0114	"AGT,BMX,CCL20,CCNB1,CDKN1A,CFH,CPA4,CXCL9,ESM1,ETV4,ETV5,FAM181B,IDO1,IFI44L,IL4I1,LHFPL1,PLAT,RGS4,SPRY4"	 
SMAD7	0.493	transcription regulator	Inhibited	-2.692	 	6.51E-09	"BGN,BMP7,CCNA2,CCNB1,CDK1,CDKN1A,CGREF1,COL6A3,CXCL12,DCN,FN1,FSTL3,FURIN,ITGA7,LTBP2,MMP12,MMP2,MMP9,MUC4,NID2,PITX2,PLAT,PROM1,SLC5A5,SOX9,TGFB2,TGFB3"	347 (17)
CALR	0.491	transcription regulator	 	-1.042	 	0.0224	"CASQ2,CDKN1A,CRABP2,FN1,GJC1,SCNN1A"	 
F3	0.489	transmembrane receptor	 	1.134	bias	0.0184	"BRINP3,ITGA2,MDK,MMP2,MMP7,MMP9,MSLN,SPRY4"	 
MEF2D	0.489	transcription regulator	 	1.829	bias	0.00876	"CDH1,EGR2,FN1,KLF2,MT-ND6,MYOCD,SOD3,TGFB2,TGFB3"	301 (10)
ILK	0.484	kinase	 	0.228	bias	0.0203	"CDH1,FN1,MMP2,MMP9,NOTCH1,SNAI1"	 
IGF1	0.475	growth factor	 	1.646	bias	0.0000039	"A2M,ADORA2B,ANPEP,AQP4,BGN,BIRC5,CAMP,CCNA2,CCNB1,CDH1,CDK1,CDKN1A,CLEC11A,CYP19A1,EGR2,ELN,FBXO32,FGFR1,FJX1,FN1,GATA2,HDC,HSD11B2,IGF2,IGFBP2,IGFBP4,ITGA3,KLK6,LCN2,LEPR,MMP2,MSTN,MUC5B,NCAM1,NOX4,NTRK1,NTRK2,PCOLCE,PDGFRB,PLA2G2A,PLK2,PLP1,PTH1R,SLC5A5,SNAI2,SPP1,TBX2,THY1"	416 (22)
PIAS3	0.473	transcription regulator	 	-0.847	 	0.0004	"FTH1,HP,MMP9,SNAI1,TPSAB1/TPSB2"	338 (14)
OSR2	0.471	transcription regulator	 	 	 	0.00706	"PAX9,TGFB3"	 
ELF4	0.469	transcription regulator	 	0.447	bias	0.0246	"CDKN1A,HDC,KIT,KLF2,SPP1"	 
PFKFB4	0.461	kinase	 	 	 	0.0137	"AMPD1,XDH"	 
WNK3	0.457	kinase	 	 	 	0.0494	SLC12A2	 
TEF	0.449	transcription regulator	 	 	 	0.0111	"AQP4,BCL2L14,SCNN1A"	 
LTB4R2	0.441	G-protein coupled receptor	 	 	 	0.0147	"MMP2,MMP9,NOX4"	 
EGFR	0.439	kinase	 	1.264	bias	0.00000031	"ANXA1,AXIN2,BIRC5,CCNA2,CDH1,CDK1,CDKN1A,CMA1,COL5A2,COL8A1,CXCL12,CXCL14,CYP19A1,DUSP4,EGR3,ETV4,FABP7,FGF7,GPC1,HDC,HP,HSD11B2,HSPB1,IGF2,IGFBP4,IL13RA2,ITGA2,JAG1,LCN2,MMP2,MMP9,MYBL2,NOTCH1,PDIA2,PLAT,POSTN,PROM1,PTGES,SFRP1,SNAI1,SNAI2,SOX9,TNNT3,VCAN,VDR,WNT7B"	439 (20)
PAX8	0.435	transcription regulator	 	0.391	bias	0.00677	"CCNA2,DIO3,L1CAM,LRRN1,NCAM1,SLC5A5"	 
IL19	0.434	cytokine	 	0.152	bias	0.00838	"CCNB1,FGF7,FN1,MMP9"	331 (14)
TIMP1	0.43	cytokine	 	0	 	0.00585	"CDKN1A,IGF2,MMP2,MMP9,PLAT,TIMP2"	355 (22)
LEF1	0.428	transcription regulator	 	1.343	bias	0.000442	"AXIN2,BIRC5,CACNA1G,CDH1,CDK1,CDKN1A,CHEK1,ECM1,FGF10,FN1,GNAO1,GPR83,MMP2,MMP7,NCAM1,NRCAM,SOX9,SPP1"	405 (25)
MAFB	0.419	transcription regulator	Activated	2.13	bias	0.00331	"ADGRE1,CXCL12,CXCL9,EGR2,MMP9,OLFML2B,OLFML3,PCSK2,PTGIR,SERPINB2,SPOCK1"	147 (7)
ERBB2	0.418	kinase	 	1.908	bias	1.72E-09	"AGR2,BIRC5,BMP7,BUB1,CCL20,CCN5,CCNA2,CCNB1,CDH1,CDH11,CDH3,CDK1,CDKN1A,CHEK1,CLEC11A,COL18A1,COL5A2,COL6A3,COL7A1,CPS1,CXCL12,E2F7,EHF,ETV4,ETV5,FGF7,FN1,FSTL3,GBP6,GPC1,GPX3,H19,H4C3,HEPH,HES2,HP,HSPB1,HTRA1,IGF2,IGFBP4,IRF6,ITGA2,ITGB3,JAG1,JAG2,KIT,KRT81,LAMC2,LCN2,LTBP2,LUM,MMP11,MMP12,MMP16,MMP7,MMP9,MYBL2,NCAPG,NID1,NOTCH1,NOX4,NRP1,PDK4,PHLDB1,PLAT,PPP2R2B,PRIMA1,PROM1,PTGES,SDC1,SFRP1,SNAI1,SNAI2,SPARC,SPOCK1,SRPX,TFAP2C,THBS4,THY1,TNNT3,TP63,TWIST2,VCAN,VDR"	399 (19)
FAM3B	0.414	cytokine	 	 	 	0.000000733	"CCN4,CDKN1A,DCN,FN1,IGFBP4,KRT19,LCN2,PTN,SPARC"	 
ITGB1	0.409	transmembrane receptor	Inhibited	-2.462	 	7.82E-08	"ADAMTSL1,CCN4,CDH1,CDKN1A,COL5A2,COL7A1,FGF1,FGFR3,FN1,HAS3,IGF2,ITGA3,ITGA7,ITGB3,LAMA1,LOX,LOXL1,MMP2,MMP9,OLFML3,PAPPA,SNAI1,SPON1,TIMP2"	393 (23)
MYRF	0.406	transcription regulator	 	0.256	 	0.00665	"AKR1C3,CFI,GDF15,LOXL4,PDK4,PLP1,PWWP3B,RASSF6,TNFRSF21"	 
SRF	0.406	transcription regulator	 	-0.592	bias	0.00429	"A2M,ABCA4,BICC1,CAMP,CDKN1A,CLDN1,CMA1,CPA3,EGR2,EGR3,FGF1,FHL1,FOXQ1,LCN2,LEPR,LTF,MMP9,MOGAT2,MSTN,MYOCD,NECTIN1,SELP,SEMA6D,SERPINB2,SLC6A4,SOSTDC1,TMEM40,TTN,VCAN"	249 (10)
PBX1	0.404	transcription regulator	 	 	 	0.0246	"CDH1,CDKN1A,COL5A2,FABP7,MMP9"	 
LDB1	0.399	transcription regulator	Activated	2.901	 	0.00459	"ANXA1,AXIN2,BMP7,CDH13,CDKN1A,COL18A1,CPA3,DACT3,EGLN3,FBLN1,FGFR3,FRZB,FTH1,KIT,MDK,MFGE8,NKX3-1,NT5E,SERPINF1,SFRP1,SFRP2,TGFB2,THY1,VDR,ZMAT3"	 
ZNF85	0.395	transcription regulator	 	 	 	0.00361	"ENPP5,POSTN,TGFB3"	 
F2R	0.393	G-protein coupled receptor	 	1.653	bias	0.0000112	"CDH1,CDH11,CXCL12,DSP,EGR3,FN1,IGFBP7,KRT19,LAMB3,MCAM,MMP2,MMP9,MYOCD,PLAT,SELP,SERPINB5,TGFB2"	398 (22)
TCF7L2	0.387	transcription regulator	Activated	3.367	bias	0.00387	"ALDH1A2,ANXA1,APOD,ASPA,AXIN2,BIRC5,CCN5,CDKN1A,CLDN11,EPCAM,FBXO32,FTH1,GLP1R,ID4,JAG1,LAMC2,LRRN1,MCAM,MMP7,NKAIN2,PLAT,PLEKHG1,PLP1,SLC12A2,SNAI2,SPP1,TP63,ZNF536"	368 (16)
CIC	0.386	transcription regulator	Inhibited	-2.2	bias	0.000172	"DUSP4,ETV4,ETV5,ITGA2,SPRY4"	 
ETS1	0.379	transcription regulator	 	1.778	bias	0.0148	"ANPEP,CDKN1A,CYP24A1,FN1,ITGA10,ITGB3,ITGB6,MCAM,MMP2,MMP7,MMP9,MUC4,NKX3-1,PTPRN2,SERPINB5,SNAI1,SPP1,TGFB2,THY1"	 
TGFA	0.37	growth factor	 	1.973	bias	0.000668	"BIRC5,CCL20,CDKN1A,FGF7,IGFBP4,LAMC2,LCN2,MMP9,MUC4,NES,PLAT,SERPINB5"	430 (22)
E2F3	0.368	transcription regulator	 	-1.865	bias	0.00713	"AKR1C3,BIRC5,CA12,CCL20,CCNA2,CCNB1,CDK1,CDKN1A,COL18A1,H2BC11,H4C2,IGF2,MYBL2,NECTIN1,PTN,TP73,WFDC2"	310 (15)
LRP6	0.363	transmembrane receptor	 	-0.306	 	0.0000802	"ALDH1A2,AXIN2,EPCAM,IDO1,LEPR,MMP2,MMP7,MMP9,PNPLA3,TTYH1"	361 (19)
PRKCD	0.361	kinase	 	1.399	bias	0.000476	"APOBEC3A,BIRC5,CCL20,CCNA2,CDKN1A,CX3CL1,CXCL12,FZD1,GDF15,GPR87,GRHL2,LAMB3,MMP12,MMP2,MMP9,MUC5B,NES,NOTCH1,PROM1,SERPINB2,SMAD6"	374 (21)
TP53	0.354	transcription regulator	Activated	5.529	 	0.00000373	"A2M,ADGRB1,ADORA2B,ALDH1A2,ALDH4A1,ANXA1,ANXA8/ANXA8L1,ARHGEF4,BIRC5,BMX,BUB1,CAMK2B,CCN5,CCNA2,CCNB1,CDH1,CDH3,CDK1,CDKN1A,CEL,CGREF1,CHEK1,CLCA2,COL18A1,COL5A2,COL7A1,CP,CX3CL1,CXCL12,CYP19A1,CYP24A1,CYP26B1,DKK3,DLGAP1,DSC3,DUSP4,ECM1,EDA2R,EDIL3,EDNRA,EGR2,EGR3,EMILIN1,FAT2,FGF7,FGFR1,FHL1,FMO1,FN1,FSTL3,FTH1,GAS7,GDF15,GLI2,GNA14,GPM6B,GPR27,GPR83,GPR87,GPX3,H19,HDC,HIC1,HSPB1,IER5,IGF2,IGFBP2,IGFBP4,IGFBP7,IL4I1,ITGA2,KIFC1,KIT,KRT15,LAMC2,LGR5,LOX,MCAM,MIR155HG,MMP2,MMP9,MPV17L,MPZL2,MT-ND5,MYBL2,MYOCD,NCAPG,NDUFA4L2,NID2,NOTCH1,NOX4,NR2F1,NRARP,NRP1,PADI2,PAPPA,PDGFRB,PLK2,POSTN,PROM1,PSTPIP2,PTCHD4,PTN,RGS13,SCN3B,SCNN1A,SELP,SEPTIN5,SERPINB2,SERPINB5,SERPING1,SFRP1,SFRP2,SLC6A6,SMAD6,SNAI1,SNAI2,SPC25,SPP1,STEAP3,SULF2,TGFB2,TGFB3,THBS2,THBS4,THY1,TIMP2,TNFRSF10C,TNFRSF9,TP53AIP1,TP63,TP73,TSKU,TTN,UNC5B,VCAN,VDR,VWCE,ZMAT3"	447 (21)
IGF1R	0.344	transmembrane receptor	Activated	2.076	bias	0.0234	"AQP4,CD300C,CDH1,CDK1,CDKN1A,COL18A1,CYP19A1,DIO3,FTH1,H19,HTRA1,IGF2,IGFBP2,IGFBP4,KRT19,KRT5,KRT6B,PLAT,PROM1,SCG2,SMPX,SNAI1"	 
SIM2	0.344	transcription regulator	 	-1.296	bias	0.018	"CDH1,MMP2,SNAI2,TIMP2"	 
ERBB3	0.344	kinase	 	0.743	 	0.0016	"BGN,CDH1,CDKN1A,CMA1,CXCL12,ETV5,FN1,HP,IGF2,NID1,SFRP1,SNAI1,SPARC,TNNT3"	391 (17)
FOS	0.344	transcription regulator	 	0.165	 	0.000000522	"A2M,AGT,AKR1C3,CAMP,CCL20,CCNA2,CDH1,CHODL,COL16A1,COL18A1,CRABP2,CTSV,DSG3,E2F7,EGR2,ESM1,FN1,FRZB,FTH1,GRIK2,IL1RL1,KRT15,LAMB3,LOX,LTBP2,MMP2,MMP7,MMP9,MMRN1,MPZL2,MSLN,NGF,OXTR,PCDH19,PKIB,PLAT,PLK2,PTH1R,PTPRD,PTPRZ1,RGS4,RIPK4,RPL39,SDC1,SEMA3B,SEMA3E,SEMA6D,SERPINB2,SFRP2,SFRP4,SNAI1,SNAI2,SPP1,SULF2,SULT2B1,WNT7B,XDH"	384 (15)
MEF2A	0.342	transcription regulator	 	1.455	bias	0.0247	"AQP4,ITGA7,KLF2,MYOCD,TGFB2,TGFB3"	 
IFNGR1	0.339	transmembrane receptor	 	-1.091	bias	0.0247	"CCL20,CXCL12,IDO1,MMP2,MMP9,PDGFRB"	 
TGFBR1	0.338	kinase	 	1.961	bias	0.0000012	"BGN,BIRC5,CDH1,CDKN1A,EGR2,FGF10,FMOD,FN1,FURIN,ID4,JAG1,MST1R,PDK4,SLC5A5,SNAI1,SNAI2,TPSAB1/TPSB2"	383 (17)
PPRC1	0.333	transcription regulator	 	1.852	bias	0.00223	"CCL20,CLDN1,ESM1,GDF15,IL13RA2,LAMB3,LCN2,VIP"	 
SMARCD3	0.331	transcription regulator	Activated	2.449	bias	0.000304	"ACAN,FMOD,ITGA3,PITX2,SOX6,SOX9"	 
BDNF	0.331	growth factor	 	1.229	bias	0.000041	"ADCYAP1,AGRN,BMP7,CASQ2,CDKN1A,CP,DUSP4,EGR2,EGR3,GNAO1,GRIN2A,GRIN2C,KIF5A,LAMP5,LCN2,LYPD1,NCAM1,NGFR,NRXN1,NTRK1,NTRK2,PLP1,PRSS12,RGS4,SEMA3E,SFRP1,SFRP2,SLC16A7,SNAP25,SOSTDC1,SPARC,SPP1,SYNPO,VSNL1"	370 (20)
EFNA4	0.328	kinase	 	-1.155	 	0.000000549	"CRABP2,DSG1,DUSP4,ETV5,FOXD3,ITGB6,KLK7,NT5E,NTM,PKP1,PLAT,SOX9"	 
SMAD3	0.328	transcription regulator	Activated	3.108	bias	6.44E-09	"ADORA1,ALPL,ASPN,AXIN2,BGN,CCL20,CDH1,CDH11,CDH6,CDKN1A,COL6A3,COL7A1,CYP19A1,DUSP4,ELN,FN1,FSTL3,GLI2,HP,JAG1,LUM,MBOAT2,MMP12,MMP9,MSTN,PCSK5,SLC5A5,SNAI1,SNAI2,SPARC,SPON1,SPP1,SSTR2,TGFB2,TGFB3,THBS4,TPSAB1/TPSB2,VIP"	394 (19)
TEAD2	0.321	transcription regulator	Activated	2.333	bias	0.000166	"BBOX1,CDK1,COL5A2,EDNRA,FIBIN,FJX1,LOXL1,NRXN2,POSTN,TP63"	 
PPBP	0.315	cytokine	 	 	 	0.0147	"COL18A1,COL6A3,PDGFRB"	 
SKI	0.314	transcription regulator	 	0.9	 	0.00464	"CDH1,CDKN1A,MUC4,NRCAM,PMP22"	289 (12)
TFCP2	0.308	transcription regulator	 	 	 	0.00397	"A2M,CFH,MMP9,SPP1"	 
TGFBR3	0.304	kinase	 	-0.463	bias	0.000575	"CDH1,COL4A6,FN1,SNAI1,SNAI2"	328 (17)
BMPR2	0.302	kinase	 	 	 	0.00946	"CXCL12,FN1,JAG2,SNAI1,SPP1"	427 (22)
PAK1	0.3	kinase	 	-1.283	 	0.00585	"CCNB1,CDH1,CDKN1A,CYP19A1,FN1,MMP9"	375 (21)
TAL1	0.299	transcription regulator	 	-0.33	 	0.0078	"BUB1,CCNB1,CDKN1A,CMA1,DSC3,DSCC1,FCER1A,GATA2,GUCY1A1,KIT,MIR646HG,MSLN,NCAPG,NKX3-1,NOTCH1,PLA2G2A,RIPK4,SERPINB2,SLC4A11,TPSAB1/TPSB2"	256 (10)
TRPS1	0.292	transcription regulator	 	0.087	bias	8.29E-08	"ALPL,BUB1,CCNA2,CDK1,FN1,MMP2,PHEX,RANBP3L,SERPING1,SNAI1,SNAI2,SPC25,TGFB2,VDR"	331 (11)
ZNF254	0.287	transcription regulator	 	 	 	0.00361	"ENPP5,POSTN,TGFB3"	 
CHRM3	0.285	G-protein coupled receptor	 	 	 	0.0147	"ITGA2,ITGA3,MMP9"	 
ID2	0.282	transcription regulator	 	-1.249	 	0.000392	"AXIN2,BMP7,CCNB1,CCR5,CDH1,CDK1,CDKN1A,DUSP4,EGR2,FGFR3,IGFBP4,IRF6,ITGA3,ITGB3,LEPR,MMP2,NGFR,NOTCH1,NTRK2,OLFM4,PROM1,SDC1,SOX9"	331 (16)
MARK1	0.278	kinase	 	 	 	0.0494	SNAI1	 
ZNF43	0.277	transcription regulator	 	 	 	0.00361	"ENPP5,POSTN,TGFB3"	 
LTBR	0.274	transmembrane receptor	 	1.134	bias	0.00981	"CCL20,CXCL12,DSC3,GPM6B,MFGE8,PDGFRB,PLXNB1"	271 (7)
ZNF100	0.273	transcription regulator	 	 	 	0.00361	"ENPP5,POSTN,TGFB3"	 
PTCH2	0.27	transmembrane receptor	 	 	 	0.0137	"CXCL12,JAG1"	 
MAGED1	0.27	transcription regulator	 	 	 	0.00214	"CDKN1A,DLX5,NTRK1"	 
DBP	0.27	transcription regulator	 	0	bias	0.00189	"ADH1A,AGT,AQP4,BCL2L14,SCNN1A"	 
SOX17	0.268	transcription regulator	 	1.408	 	0.00117	"AXIN2,GPT,LAMA1,NR2F1,PROM1,SPARC,VIT"	 
NFIC	0.267	transcription regulator	 	 	 	0.00675	"CCNB1,CDKN1A,CEL,FABP7,HTRA1"	 
BMP4	0.264	growth factor	Activated	3.105	bias	1.69E-08	"ACAN,ALDH1A2,BARX1,CDH1,CDKN1A,CYP19A1,DIO3,DLX5,GABRP,GATA2,HTRA1,ITGB6,KIT,L1CAM,LAMA1,NCAM1,NES,NGFR,PAPPA2,PGF,PITX2,POSTN,SMAD6,SMAD9,SNAI1,SNAI2,SOX9,SPARC,TFAP2A,TFAP2C,TP63,VTCN1"	467 (22)
JUND	0.263	transcription regulator	 	1.067	bias	0.0182	"AGT,CYP19A1,FTH1,MMP7,MMP9,NOX4,SDC1,SERPINB2,SPP1"	 
MRTFB	0.261	transcription regulator	 	1.508	bias	0.0000932	"BBOX1,CAMP,CMA1,COL5A2,CPA3,EDNRA,EGR3,FIBIN,FJX1,LCN2,LINC00968,LOXL1,LTF,MOGAT2,NRXN2,POSTN,SELP,SERPINB2,SLC6A4,TGFB2,WTIP"	24 (2)
ATN1	0.259	transcription regulator	 	 	 	0.00256	"CA4,CDH11,CDH8,DLG4,FGF1,GAS7,GRIN2C,LTBP2,MCAM,NR2F1,PDE1B,PRKACB,SOX11,SPP1,VSNL1"	 
