Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
MYC	0.302	transcription regulator	 	-1.026	 	0.0139	"ABCC1,ACAN,ADM,AKAP12,ARHGAP22,ASCL2,BAX,BBC3,CAV1,CCN4,CCND1,CCND2,CHEK1,CLEC3B,COL14A1,COL15A1,COL4A1,COL4A2,COL5A2,COL8A1,CRABP2,CSPG4,CTSB,CTSV,DDIT4,DUSP4,EIF2B3,EPHB3,F2R,F3,FAP,FAS,FBLN2,FBN2,FGF10,FGFR1,FRZB,FSTL1,FUT8,GADD45A,GCLM,GJA1,GPC1,GPC3,GPT,H19,HSPB1,HSPH1,IER5,IFI27,IFI6,IFIT3,INHBA,ITGA3,JAG2,KRT6B,LAMB3,LGALS1,LGR5,LOX,LUM,MDM2,MMP7,MX1,MYCT1,NRP1,PLP1,PLS3,PMP22,PRKACB,RAD51,S100A10,S100A6,SCPEP1,SFRP1,SOX2,SPARC,ST3GAL4,TIAM1,TIMP2,TNFRSF10A,TNNT3,WNT5A"	 
LRP6	0.658	transmembrane receptor	 	1.689	 	0.000753	"ALDH1A2,CAV1,CCND1,IL1B,LEPR,MMP14,MMP2,MMP7,TTYH1"	413 (19)
ATF5	0.184	transcription regulator	 	 	 	0.0138	"PLAT,SAA1,SAA2"	 
LCOR	-0.11	transcription regulator	 	 	 	0.0138	"ADORA1,CYP26B1,IGFBP4"	 
IL10	0.652	cytokine	Activated	2.293	 	0.00628	"ADM,BAX,BMP2,CAMP,CCL20,CCND2,CD163,CD209,CDH13,CHI3L2,CIT,CTSB,CTSV,CXCL12,DCN,DEPP1,F3,FAS,HDAC9,IGFBP4,IL12RB2,IL1B,INPP5D,KLRC4-KLRK1/KLRK1,LGALS1,MAN1A1,MERTK,MMP2,POMC,S100B,SERPINB2,SLC1A3,TMEM158,TNIP3,TSC22D3"	418 (13)
MDM4	-0.19	transcription regulator	 	-1.92	bias	0.0137	"BAX,BBC3,KRT5,MDM2"	 
PKNOX2	-0.465	transcription regulator	 	1	bias	0.0137	"BBC3,FAS,GADD45A,SNAI2"	 
EHF	0.722	transcription regulator	 	0.714	 	0.0135	"ANPEP,CCL20,CDH3,CRABP2,JAG1,KIT,KLK7,PLAT,SAA1,SAA2,TFPI"	 
STAT6	0.378	transcription regulator	 	-0.908	 	0.0134	"ADAP1,APOE,BAX,CCL20,CCND2,CEL,CTSB,FSCN1,GATM,GBP6,GNA14,GPM6B,HRH1,IFIT3,IL1B,IRAK3,ISG15,JAG1,KCTD12,MMP14,MMP2,MMP28,PKIB,PRNP,S100A10,SCN9A,SELP,SERPINF1,SOCS2,SPHK1,TBX21,TFF3,TMEM176B,TMTC1"	 
HDAC4	0.177	transcription regulator	 	-0.391	 	0.0134	"C1QC,CACNA2D1,CALCB,CHRDL1,CNKSR2,GADD45A,HDAC9,MAPK10,MYOT,MYOZ1,PMP22,SCRG1,SERPINB2,SYN2"	 
PIM1	0.64	kinase	 	0.287	bias	0.00851	"ABCB1,ABCG2,BBC3,CAV2,CCND2,IL12RB2,MDM2,TBX21"	468 (20)
CD36	0.627	transmembrane receptor	 	1.913	bias	0.000573	"CCL20,COL4A1,FAS,FGF2,IGFBP4,IGFBP6,IGFBP7,IL1B,LRP1,MMP14,NLRP3,SERPINB2,TNFRSF10A,TNFRSF10C"	477 (19)
BRD4	0.616	kinase	Activated	2.523	bias	0.0201	"AMPD1,ANKRD37,CCND1,CCND2,COL4A1,ITGA5,LOX,LOXL1,MTHFD1L,PLAT,SLC16A9,SLC38A5,SUSD2,WNT5A"	 
IL32	0.614	cytokine	 	1.04	bias	0.0105	"BAX,BBC3,CTSK,FAS,IL1B,MMP2,MX1,SNAI2"	 
KLF5	0.54	transcription regulator	 	1.47	bias	0.0129	"CCND1,CGREF1,GPSM1,KRT5,LAMA1,NOTCH1,PTGES,SOX2"	 
TNFRSF1A	0.608	transmembrane receptor	 	1.697	 	0.00615	"ABCC1,CCL20,CLMP,DIO2,GCLM,GFAP,GPT,GSTA1,IL1B,LBP,LCN2,MMP14,MMP2,MMP7,SAA1,SELP,TBX21"	351 (13)
TAF4	-0.263	transcription regulator	 	-0.378	bias	0.0125	"CCND1,CDH3,DCN,GAS2,KRT6B,LUM,MAP3K6,MMP2,OLFML3,SCUBE1,SFRP2"	 
MTA1	0.076	transcription regulator	 	1.654	 	0.0119	"CCN4,CCN5,CCND1,CCND2,HUNK,MMP2,PGR"	 
CSF1	0.591	cytokine	Activated	2.889	bias	0.00000674	"APOE,BAX,CCND1,CCND2,CD163,CD209,COL23A1,CTSK,DHCR24,DUSP4,DUSP9,F2R,FAS,FOLR2,GAS7,GDF15,GPNMB,GPR34,GPT,IL1B,ITGA5,ITGB3,MERTK,MMP16,PGR,PTPRZ1,SERPINB2,SFRP1,SIGLEC1,SLC37A2,SPARC,TLR6"	432 (19)
ETV4	1.811	transcription regulator	 	 	 	0.0114	"BAX,CAV1,ETV4,KRT5,MMP14,MMP7"	 
MYRF	-0.089	transcription regulator	 	-1.111	 	0.011	"AKR1C3,ARHGEF25,CFI,COL14A1,GDF15,LOXL4,PLP1,RASSF6,TNFRSF21"	 
ID3	0.599	transcription regulator	 	1.236	 	0.0106	"ADM,ASCL2,BMP7,CCND2,CCR10,DUSP4,IGFBP4,ITGB3,LEPR,LGALS1,MAP2K6,MMP2,NOTCH1,PTPN13,RAP1GAP,RAPGEF4,SDC1,SOX4,TNFSF8"	 
MAP3K8	0.58	kinase	Inhibited	-2.236	 	0.00846	"ACPP,ADORA3,APOE,ARHGAP22,CCL20,FAM107B,FSCN1,GPR146,IER5,IL1B,INHBA,PGR,PLAT,SLA,SLCO4A1,TBX21"	302 (13)
IL1R1	0.57	transmembrane receptor	 	1.964	bias	0.0156	"ABCC1,CXCL12,GFAP,IL1B,LBP,MMP2,S100B,SAA1"	 
MAPK11	0.569	kinase	 	1.091	bias	0.0232	"CAV1,FAS,NPR1,TBX21,TIMP2"	 
FOXO3	0.561	transcription regulator	 	0.629	 	0.00957	"BAX,BBC3,BMP2,C1QA,CAV1,CCND1,CCND2,CDKN3,COL4A1,COL4A2,COMP,CTSB,CTSV,DDIT4,DEPP1,GADD45A,GPX3,GSTM5,IGFBP7,INHBA,JAG1,LCN2,MCAM,NRP2,NTN4,POMC,PRNP,TCIM,TP63"	414 (18)
REST	-0.098	transcription regulator	 	-0.727	bias	0.00898	"ASCL2,CHGB,CMKLR1,CXCL12,FUT9,GRIK3,GRIN2A,GRIN2B,L1CAM,NRP1,NTRK3,S100B,SCG2,SCN2A,SLC26A4,UCHL1"	 
CCR2	0.549	G-protein coupled receptor	Activated	3.79	bias	6.45E-09	"AEBP1,ASPN,BGN,C1QA,C1QC,CD163,COL12A1,COL14A1,COL4A1,COL4A2,CX3CL1,CXCL12,DCN,DPT,FBLN1,FBLN2,GPT,IL1B,LUM,MMP2,OGN,SPARC,TGM2,TIMP2"	512 (19)
TFAP2A	0.204	transcription regulator	 	1.276	 	0.00892	"AMH,APOE,BAX,CCN5,COL7A1,F2R,FOXA1,IGF2,KRT5,MMP14,MMP2,PLAAT3"	404 (17)
CXCR4	0.547	G-protein coupled receptor	 	1.292	bias	0.00439	"ANKS1B,CCND1,CXCL12,F3,IGFBP7,MMP2,PGR,TNFRSF10A,TNFRSF10C"	407 (18)
MAML1	-0.107	transcription regulator	 	 	 	0.00884	"CCND1,HEYL,IL1B,RND3"	321 (11)
IL10RA	0.544	transmembrane receptor	Activated	2.72	 	1.33E-09	"ABCB1,ADH1C,ASPN,B4GALNT3,BAX,BMP2,CCN3,CFB,CFTR,COL14A1,CYP2S1,DCN,DDIT4,DPEP1,DPT,FAS,FHL1,FOLR2,FSTL1,GBP6,GSTM5,HCAR2,HEPACAM2,HTR4,IL1B,INHBA,LCN2,LUM,OGN,P3H2,PDE2A,PLAAT3,PMP22,POMC,POSTN,PYGL,SAMHD1,SPARC,SPON1,ST6GALNAC2,STARD8,TGM2,THBS4,TNFSF15,UPP1"	218 (9)
IFNG	0.528	cytokine	Activated	4.26	 	2.63E-13	"A2M,ABCB1,ABCC1,ADCY5,ADGRG2,ADM,ADORA1,ADORA2B,ALDH1A3,ALOX12,ALPL,BAX,BBC3,BCAN,BST2,C1QA,C1QC,C1R,CAV1,CCL20,CCL28,CCND1,CCND2,CCNO,CD163,CD209,CDH13,CFB,CFTR,CHI3L2,CHST3,CHST7,CNR1,COL5A2,CRLF1,CTSB,CTSK,CTSV,CX3CL1,CXCL12,CYP24A1,DDR2,DEPP1,DLG4,DNAJB7,DOK1,DUSP4,DUSP9,ELAVL2,ELN,F2R,F3,FAS,FBLN1,FGF1,FGF2,FZD1,GBP6,GDF15,GFAP,GGT5,GJA1,GMPR,GNA14,GNAO1,GNG2,GPR146,GPR156,GPT,HCAR2,HDAC9,HSPB1,IDO2,IFI27,IFI6,IFIT3,IGFBP4,IL12RB2,IL1B,INHBA,ISG15,ITGA5,ITGB3,JAG1,KCTD12,KLRC4-KLRK1/KLRK1,KRT15,KRT19,LAMC1,LAMC2,LCN2,LOX,LY6E,MCHR1,MDM2,MERTK,MFSD2A,MMP11,MMP2,MT1F,MX1,NLRP3,NOTCH1,NTRK2,PCSK2,PHLDA1,PLAAT3,POMC,PRNP,PTGES,RNASE7,RRAGD,S100A10,SAMHD1,SCUBE1,SDC1,SELP,SERPINA5,SFRP1,SLC12A1,SLC12A2,SLC15A3,SLC16A9,SLC1A3,SLC9A3,SMC1B,SNAI2,SOAT1,SOCS2,SOD3,SPON1,SYNM,TBX21,TIMP3,TLR6,TMEM158,TNFRSF10A,TNFSF15,TP63,TRIM22,TSC22D3,TSHR,VSNL1,WNT5A"	370 (13)
CCR1	0.517	G-protein coupled receptor	 	1.387	 	0.0131	"CTSK,CTSV,ITGB3,MMP2,SPARC"	 
CCN2	0.517	growth factor	Activated	3.339	bias	0.0000124	"ACAN,CAVIN2,CCN3,CCND1,COL4A2,COL8A1,DCN,EMILIN1,IGF2,LOX,MMP14,MMP2,PTH1R,SFRP4,SOX2,SOX4,SPARC,TIMP3"	441 (18)
IRX1	1.191	transcription regulator	 	 	 	0.00827	"BDKRB2,FGF7"	 
RET	0.5	kinase	 	0.728	bias	0.00000951	"BBC3,CCL20,CCN3,CCND1,CTSB,CTSV,CXCL12,DCN,DPYSL2,GJA1,HSPH1,IL1B,LOX,MMP14,MMP7,PRNP,PTPN13,REEP6,TIMP3"	381 (16)
IFNGR1	0.498	transmembrane receptor	 	1.446	bias	0.0106	"CCL20,CXCL12,FAS,IL1B,MMP2,MX1,TBX21"	 
GPBAR1	0.487	G-protein coupled receptor	 	 	 	0.00395	"CAMP,CCND1,DIO2,IL1B"	285 (5)
TIMP1	0.459	cytokine	 	1.134	 	0.00186	"A4GALT,IGF2,MMP2,PLAT,PLTP,TIMP2,TIMP3"	267 (9)
GATA6	1.113	transcription regulator	 	1.691	 	0.00817	"ABCB1,ASPA,C1R,CAV1,CD163,COL4A1,COL4A2,CRABP2,FGF2,FOXA1,HBA1/HBA2,LAMA1,LGR5,PIK3C2G,PTGES,SEMA3C,SLC9A3,SOX2,SPARC"	 
GRHL2	0.455	transcription regulator	 	1.412	 	0.00788	"BMP2,MMP14,NRP2,SEMA3C,TP63"	 
SIX5	-0.216	transcription regulator	 	1.342	bias	0.00788	"COL9A2,IGF2,MDFI,PLTP,SFRP2"	 
DLG3	0.455	kinase	 	 	 	0.016	"GRIN2A,GRIN2B"	 
ZNF217	-0.228	transcription regulator	 	-1.633	bias	0.00711	"ADM,AGR2,COL8A1,KCNK2,LYPD1,NLGN1,PLAT,SHC4,SOCS2,VSNL1"	 
JUNB	-0.41	transcription regulator	 	0.852	bias	0.00705	"CAV1,CCL20,CCND1,COL7A1,FBLN2,IL1B,INHBA,ITGB3,LAMB3,LCN2,MMP2,POMC,SERPINB2,SNAI2,TBX3,TIMP3"	451 (17)
MAPK7	0.43	kinase	 	1.849	bias	0.00418	"CCN3,CCND1,IL1B,PDE3A,PLAT,SERPINB2,TEK,TP63"	412 (17)
LATS2	0.429	kinase	 	-1.463	 	0.000518	"ALDH1A3,BBC3,CYP24A1,FOXA1,KIT,KRT19,LTF,RRAGD"	 
HOXB4	-0.517	transcription regulator	 	1	bias	0.00692	"CCND2,GPX3,ITGB3,PGR"	 
SNAI2	1.488	transcription regulator	 	1.371	 	0.00676	"BBC3,CCND1,CXCL12,ITGA3,L1CAM,MMP14,NES,SNAI2,TP63"	279 (15)
HTATIP2	0.273	transcription regulator	 	 	 	0.00652	"ADGRB1,CCND1,MMP2,SOX2,SPARC"	330 (17)
TGFBR2	0.389	kinase	 	1.129	 	0.0000705	"ADORA2B,ALOX12,BGN,CCND1,COL4A6,FGF2,FGF7,GATM,GFAP,GJA1,GLI1,HSD11B1,IL1B,MMP14,MMP2,NRP1,PTGDS,PTGES,PTH1R,RBMS3,SCN7A,SELP,SPARC,SVEP1,TBX21"	425 (19)
PDGFA	0.386	growth factor	Activated	2.433	bias	0.00000404	"ELN,FGF10,FGF2,FGF7,NES,SOX2"	 
PRKCD	0.381	kinase	 	1.727	 	0.00303	"CCL20,CCND1,CTSB,CX3CL1,CXCL12,FZD1,GDF15,GFAP,GLI1,GPR87,HRH1,IL1B,LAMB3,MMP2,MUC5B,NES,NOTCH1,SERPINB2,SOX2,SPHK1"	387 (17)
ANGPT2	0.347	growth factor	Activated	2.293	bias	0.0116	"ABCC1,C1R,CD163,CFB,COL18A1,FAS,FGF7,FKBP10,IL1B,LEPR,MAPK10,MFGE8,MGST1,MMP2,MMP7,PHLDA1,POSTN,PTGES,SOD3,TEK"	 
MAFB	0.545	transcription regulator	 	1.897	bias	0.00605	"CACNA2D3,CD163,CMKLR1,CXCL12,GATM,GFRA2,OLFML2B,OLFML3,PCSK2,SERPINB2,TMEM119"	 
TGFB3	0.347	growth factor	Activated	2.617	bias	0.00853	"ACAN,ASPN,CCN3,CLDN11,ELN,FGF2,GJA1,ITGB3,LTBP2,MMP2,SDC3,SNAI2,TIMP3"	408 (17)
ABL2	0.34	kinase	 	 	 	0.00454	"CTSB,MMP14,TEK"	 
PRKACA	0.34	kinase	 	1.19	bias	0.000129	"ALAS1,ANTXR1,CCND1,CCND2,DIO2,GNRHR,OXTR,PRKACB,SDC1,SFRP4"	318 (17)
BAIAP2	0.318	kinase	 	 	 	0.00827	"GRIN2A,GRIN2B"	 
MEF2C	0.243	transcription regulator	 	0.377	bias	0.00505	"CASQ2,ECM2,FAP,FRZB,GJA1,HDAC9,HSPB7,MYOT,MYOZ1,POSTN,PTH1R,SFRP2,THEM5,TNNI2,TTN"	 
ZFPM1	-0.107	transcription regulator	 	 	 	0.00484	"CECR2,CPA3,EPHA7,IL12RB2,IRAK3,PLAAT3,RGS13,SELP,SH2D4A,SLA"	 
HDAC1	-0.149	transcription regulator	 	0	 	0.00482	"ABCB1,ACAN,AKAP12,ASCL2,BAX,BBC3,CAVIN2,CCND1,CCND2,CTSK,FAS,GLI1,KRT15,LCN2,LGR5,MDM2,OLFM4,SCN2A,SERPINB2,SFRP1,SNAI2,SOX2,TGM2,TNNI2,TSC22D3"	411 (16)
ITGA4	0.314	transmembrane receptor	 	 	 	0.0138	"IL1B,ITGA5,MMP2"	 
DMTF1	-0.131	transcription regulator	 	 	 	0.00454	"ANPEP,BBC3,MDM2"	260 (7)
SIAH2	-0.574	transcription regulator	 	 	 	0.00454	"ACPP,AKR1C3,CYP24A1,DHCR24,FGF1,PMEPA1"	332 (7)
FAM3B	0.313	cytokine	 	 	 	7.32E-09	"CAV1,CCN4,DCN,GAS2,GJA1,IGFBP4,ITGA5,KRT19,LCN2,LGALS1,SPARC"	 
IKZF3	0.325	transcription regulator	 	-1.929	bias	0.00437	"ANTXR1,CAV1,CAV2,DEPP1,GAS6-DT,HHATL,IFI27,IFI6,IFIT3,SCN9A"	 
FOXF1	-0.451	transcription regulator	 	 	 	0.00431	"CCND1,FGF2,ITGA5,ITGB3,WNT5A"	 
TEAD3	0.453	transcription regulator	 	1.746	bias	0.00418	"ADM,BBOX1,COL5A2,FIBIN,FJX1,LOXL1,POSTN,TP63"	 
IL18	0.292	cytokine	 	0.714	bias	0.00895	"CAMP,CCL20,CXCL12,DDIT4,DLG4,FAS,GJA1,GRIN2A,GRIN2B,IL12RB2,IL1B,INPP5D,KIT,KLRC4-KLRK1/KLRK1,SAMHD1,SOCS2,TBX21,ZBED2"	334 (15)
PAK1	0.291	kinase	 	0.878	 	0.0333	"CCND1,F3,MMP14,PGR,TFPI"	 
SNAI1	0.791	transcription regulator	 	0.852	 	0.00394	"CCND1,CCND2,ESPN,GDF15,GFAP,GLI1,GSN,ITGA2,L1CAM,MMP14,NES,SDC1,SNAI2,SOX2,SPARC,SPARCL1,TP63"	450 (20)
TEAD1	0.151	transcription regulator	Activated	2.207	bias	0.00394	"ADM,BBOX1,CCND1,COL5A2,FIBIN,FJX1,LOXL1,MSLN,POSTN,TP63"	 
ATF3	-1.13	transcription regulator	 	0.287	 	0.00365	"BBC3,CCND1,CX3CL1,GBP6,GSN,HSPB1,IL1B,KRT19,MDM2,MMP2,PTGES,SERPINB5,SLC15A3"	407 (16)
IRF2	-0.268	transcription regulator	 	0.71	bias	0.00352	"C1S,CA12,CCND1,CES1,CFB,CFTR,H4C3,HGD,IL12RB2,IL1B,ISG15,LBP,LCN2,MMP7,SDC1"	182 (7)
PIP5K1A	0.283	kinase	 	 	 	0.0182	"CDH13,FEZ1,WIF1"	 
WNT3A	0.262	cytokine	Activated	3.156	 	9.4E-13	"ACAN,ALDH1A3,ALPK2,ALPL,BGN,BMP2,CCN4,CCN5,CCND1,CCND2,CLEC11A,CXCL12,CYP24A1,DCN,DCUN1D3,DDIT4,DKK2,ECRG4,ETV5,FZD1,GGT5,GLI1,GPNMB,JAG1,KCTD12,KIT,LCN2,LGR5,LRRC32,MMP14,MRGPRF,NGFR,NRG1,OGN,PMEPA1,PMP2,PMP22,PTH1R,RUNX1T1,SFRP2,SLC1A3,SOX4,SPARC,SSTR2,TBX3,TIMP3,TMEM158,WIF1,WNT5A"	418 (17)
STAT5B	0.194	transcription regulator	 	-0.104	 	0.00312	"A2M,ABCB1,AKR1C1/AKR1C2,AKR1C3,ALAS2,ANKS1B,BAX,CCND1,CCND2,CDO1,CHEK1,CKMT2,CYP26B1,FAS,FBLN1,GADD45A,KRT19,LAMA3,MDM2,NNMT,NRP2,OMD,PCSK5,PLTP,SCARA5,SLC47A1,SOCS2"	355 (16)
FOSB	0.715	transcription regulator	 	 	 	0.00309	"CCND1,F3,FOLR2,GNRHR,INHBA,MMP2,SERPINB2"	 
DAG1	0.258	transmembrane receptor	 	0.728	bias	0.0000352	"EGFLAM,ITGA7,LAMA1,LAMB1,LAMC1,SGCA,SSPN"	 
FOXL1	1.186	transcription regulator	 	 	 	0.00286	"SDC1,WNT5A"	 
NPAS3	-0.263	transcription regulator	 	 	 	0.00286	"FGFR1,RELN"	 
TREM1	0.257	transmembrane receptor	Activated	2	bias	0.000398	"ADORA2B,CCL20,CFB,DUSP4,F3,GCLM,HES4,IL1B,INHBA,ISG15,LRFN4,MT1E,MT1F,MT1M,PHLDA1,RGS13,SERPINB2,SLC1A3,SLCO4A1,TMEM158,TNFSF15,TNIP3,WNT5A"	404 (12)
TCL1A	-2.32	transcription regulator	 	 	 	0.00273	"C1QA,C1QC,CAMP,CPA3,CTSB,FABP7,GDF15,GPNMB,IL1B,LCN2,LTF,SLC15A3"	346 (12)
ACTN4	0.42	transcription regulator	 	0	bias	0.00269	"CCND1,DCN,IL1B,PGR,WNT5A"	374 (17)
KMT2D	-0.227	transcription regulator	 	1.513	bias	0.00265	"ADCY5,ADGRG2,CHST7,CSPG4,DSC3,DSG3,FHL1,HFM1,IGSF1,JAG2,LAMB3,LOXL1,MARVELD1,MEOX1,NKAPL,NPR3,REEP6,SMO,SYDE2,SYPL2,WTIP"	 
WBP2	-0.503	transcription regulator	Activated	3.5	 	0.00253	"ALPK2,COL4A1,COL4A6,CSPG4,CYP24A1,FHL1,GGT5,IL1B,ISYNA1,ITGB3,LGR5,PI16,RARRES2,SLC1A3,SOX4,SYNM"	 
CREB1	-0.03	transcription regulator	 	0.825	 	0.00248	"ADM,ALAS1,APOE,BHLHE22,CACNA2D1,CALCB,CAPN5,CCND1,CDH13,CGREF1,CHGB,CLMP,CRYM,DIO2,DKK2,EDIL3,ERC2,GADD45A,GPNMB,HSD11B1,IL1B,INHBA,LCN2,MCAM,MCTP1,MDGA1,MFSD2A,MUC5B,NOTCH1,NPTX2,NRP1,NRP2,PDE3A,PLA2G4A,PLAT,RP1,RUNX1T1,SCG2,SFRP4,SIAH3,SOCS2,SYN2,TIPARP,TSHR,TSKU,UPP1,ZDHHC23"	403 (14)
MAP2K4	0.251	kinase	Activated	2.376	bias	0.0344	"CCND1,FAS,GADD45A,GNRHR,MDM2,MUC5B,PLA2G4A"	 
TEAD4	1.024	transcription regulator	 	1.844	bias	0.00236	"ADM,BBOX1,CAV2,CCND1,COL5A2,FGFR1,FIBIN,FJX1,LOXL1,POSTN,RAD51,TFAP2C,TP63"	 
LTBR	0.236	transmembrane receptor	 	1.89	bias	0.0148	"CCL20,CXCL12,DSC3,GPM6B,MFGE8,PLXNB1,PRNP"	 
FOXO4	-0.043	transcription regulator	 	-1.075	 	0.0022	"C1QA,CAV1,CCND1,CCND2,COL4A1,COL4A2,COMP,DHCR24,GADD45A,GPX3,IGFBP7,JAG1,NRP2,ZFAND5"	351 (13)
EGFR	0.231	kinase	Activated	2.842	 	8.32E-08	"ABCG2,ASCL2,BAX,CAV1,CCND1,CMA1,COL5A2,COL8A1,CST3,CTSK,CXCL12,CXCL14,DUSP4,ETV4,F2R,F3,FABP7,FAP,FBLN2,FGF7,GADD45A,GFAP,GJA1,GPC1,HSPB1,IGF2,IGFBP4,IL1B,ITGA2,JAG1,LCN2,MATN2,MMP14,MMP2,MT1F,MT1M,NOTCH1,PLA2G4A,PLAT,POMC,POSTN,PPP1R1C,PTGES,S100A2,SFRP1,SNAI2,SOX2,SPHK1,TGM2,TNNT3"	496 (19)
ERBB2	0.229	kinase	Activated	3.3	bias	6.51E-14	"ABCG2,ADORA3,AGR2,ALAS1,BMP7,CAVIN1,CAVIN2,CCL20,CCN5,CCND1,CCND2,CDH3,CDKN3,CES1,CHEK1,CLEC11A,CLEC3B,COL18A1,COL4A1,COL5A2,COL7A1,CTSB,CXCL12,CYP4B1,DOK1,DPEP1,DPT,EMP3,ETV4,ETV5,F2R,FBLN2,FGF7,FOXA1,FSCN1,FSTL1,FSTL3,GBP6,GJA1,GPC1,GPX3,H19,H4C3,HES2,HEYL,HSPB1,IGF2,IGFBP4,IGFBP6,IL1B,ITGA2,ITGA5,ITGB3,JAG1,JAG2,KIT,LAMB1,LAMC2,LCN2,LGALS1,LTBP2,LUM,MAN1A1,MDM2,MFAP2,MMP11,MMP14,MMP16,MMP7,NID1,NNMT,NOTCH1,NPTX2,NRG1,NRP1,PDLIM4,PHLDB1,PLAT,PMEPA1,PRIMA1,PRR15L,PTGES,S100A6,SDC1,SFRP1,SNAI2,SOCS2,SOX4,SPARC,SPARCL1,SRPX,ST3GAL4,STMN3,TFAP2C,THBS4,TIMP3,TNNT3,TP63,TUBA1A,VWF,WNT5A"	428 (18)
AKT1	0.228	kinase	Activated	3.133	 	0.000000641	"ABCB1,AKR1C1/AKR1C2,BAX,BMP2,C1QC,CCND1,CCND2,COL4A1,COL8A1,CST3,CTSV,DLG4,FAS,FGF2,FSTL1,GATM,GCLM,GDF15,GSTM5,HUNK,IGF2,LAMA1,LAMB1,LCN2,MDM2,MMP14,MMP2,NOTCH1,PGR,PHLDA1,PLA2G4A,PLP1,RAMP1,RAMP3,SERPINF1,SHOX2,SNAI2,TP63"	449 (20)
GLIS2	0.584	transcription regulator	Inhibited	-2.219	bias	0.00207	"CCND1,LTBP2,MMP14,SNAI2,SPARC"	282 (7)
LILRB1	0.212	transmembrane receptor	Inhibited	-2.408	bias	0.000823	"ADM,CAV1,HSPB1,MMP2,SDC1,UCHL1"	 
LMO2	0.256	transcription regulator	 	0.962	 	0.00182	"BBC3,BMP7,CCND2,CDH13,COL18A1,CPA3,DACT3,F2R,FBLN1,FES,GIMAP8,GJA1,GOLM1,GPR34,GRASP,GSN,KCTD17,KIT,LGALS1,LSP1,MDK,MFGE8,PLA2G4A,SERPINF1,SLC43A1,TBX21,TNFRSF10A,ZMAT3"	 
SMAD2	0.027	transcription regulator	Activated	2.303	bias	0.00178	"BGN,CCL20,CES1,CRISPLD2,FSTL3,GNRHR,INPP5D,IRX1,MMP2,SNAI2,SOX2,SPHK1,TIMP3"	458 (19)
EED	-0.044	transcription regulator	Inhibited	-2.449	bias	0.00178	"BBOX1,FOXA1,GFAP,IGFBP2,MMP2,MMP7,TBX3,WIF1"	369 (13)
PTN	0.203	growth factor	 	 	 	0.0429	"COMP,ITGB3,PTPRZ1"	 
EIF2AK2	0.186	kinase	Activated	2.401	bias	0.0156	"BAX,CCND1,FAS,IFI27,IFI6,IL1B,ISG15,MT1M,NNMT,SAMHD1,TUBA1A"	 
FOXC1	-0.404	transcription regulator	 	0.955	bias	0.00136	"ITGB3,LFNG,MMP7,NOTCH1,SNAI2,WNT5A"	171 (7)
BCR	0.181	kinase	 	 	 	0.0357	"CCL20,DSG1,GPT"	 
KLF4	0.927	transcription regulator	 	1.877	bias	0.0013	"ALPL,BAX,CCN3,CCND1,CCND2,COL8A1,CRABP2,DUSP4,FRZB,HSPB1,IER5,INHBA,KRT19,LAMA1,LGR5,NOTCH1,NRP1,PLAT,S100A14,SERPINB2,SNAI2,SOD3,SOX2,SPHK1,TBX3,TEK,WNT5A"	447 (24)
NDRG1	0.176	kinase	 	-1.603	 	0.0458	"CAV1,CCND1,MDM2,SNAI2,TP63"	 
MYB	-0.106	transcription regulator	Activated	2.444	 	0.0013	"ADM,ANPEP,BAX,CAMK2B,CCND1,COL4A1,CXCL12,FUT8,IGF2,KIT,LCN2,MEGF10,MMP11,NOTCH1,PDE2A,SDC1,SNAI2,SOCS2,SOX2,SPHK1"	412 (18)
OXSR1	0.176	kinase	 	-0.152	 	0.000112	"LHX8,MDM2,SLC12A1,SLC12A2"	 
LEF1	0.485	transcription regulator	Activated	2.055	bias	0.00112	"ABCG2,CAV1,CCND1,CHEK1,CPE,FAS,FGF10,GNAO1,MMP2,MMP7,NTN4,PHLDA1,PLCB4,RRAGD,SPECC1,TIAM1,TMEM158,ZNF467"	 
PHB	0.058	transcription regulator	 	-0.213	 	0.00106	"BAX,CCND1,H19,IGF2,IL1B,MDM2"	423 (17)
HDAC2	-0.076	transcription regulator	 	-0.718	 	0.00105	"ACAN,ASCL2,BBC3,CAVIN2,COMP,DPT,F3,FAS,GLI1,KRT15,LGR5,MDM2,OLFM4,SCN2A,SFRP1,TNNI2,TP63"	418 (17)
IKBKG	0.175	kinase	Activated	2.643	bias	0.00000114	"AEBP1,BAX,BBC3,BMP2,CDH13,CTSB,CX3CL1,CXCL12,DCN,GPT,IGFBP6,IL1B,ISG15,KCNH2,LCN2,NID1,OGN,SEMA3C,SERPINB2,SFRP1,SOD3,TMEM176B,TSHR"	413 (13)
ROCK1	0.16	kinase	Activated	2.619	bias	0.000681	"CCND1,CCND2,COL4A2,COL8A1,FBLN2,LAMA2,LAMC1"	207 (7)
