Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
_-tocopherol Degradation	0.747	0.25	#NUM!	CYP4F3
Melatonin Degradation II	0.747	0.25	#NUM!	IL4I1
Arginine Degradation I (Arginase Pathway)	0.747	0.25	#NUM!	ALDH4A1
FAT10 Cancer Signaling Pathway	0.745	0.087	1	"ACVR1C,NGFR,TGFB2,TGFB3"
Cardiac Hypertrophy Signaling	0.735	0.0625	2.138	"ADRB1,CACNA1E,GNA14,GNAO1,HSPB1,NFATC4,PLCD3,PLCD4,PLCH2,PRKACB,RHOJ,RHOV,RND2,TGFB2,TGFB3"
Tight Junction Signaling	0.726	0.0655	#NUM!	"CLDN1,CLDN10,CLDN11,F2RL2,NECTIN1,NGFR,PPP2R2B,PRKACB,SNAP25,TGFB2,TGFB3"
Relaxin Signaling	0.726	0.0667	0	"GNA14,GNAO1,GUCY1A1,MMP9,NPR3,PDE10A,PDE1B,PDE3B,PDE4C,PRKACB"
Histamine Degradation	0.708	0.118	#NUM!	"ALDH1A2,ALDH4A1"
Calcium Signaling	0.708	0.0631	0.632	"CACNA1E,CACNA1G,CACNB1,CAMK2B,CASQ2,CHRNB2,GRIN2A,GRIN2C,NFATC4,PRKACB,TNNI2,TNNT3,TP63"
Endothelin-1 Signaling	0.706	0.0638	1.732	"EDNRA,GNA14,GNAO1,GUCY1A1,PLA2G2A,PLA2G2D,PLA2G3,PLA2G4F,PLCD3,PLCD4,PLCH2,PNPLA3"
Epithelial Adherens Junction Signaling	0.703	0.0658	#NUM!	"ACVR1C,CDH1,FGF1,FGFR1,NECTIN1,NOTCH1,SNAI1,SNAI2,TCF7L1,TGFB2"
Adipogenesis pathway	0.703	0.0672	#NUM!	"BMP7,EGR2,FGF1,FGFR1,FGFR3,FZD1,NFATC4,SMAD9,SOX9"
Nitric Oxide Signaling in the Cardiovascular System	0.699	0.0707	0.378	"ADRB1,CACNA1E,GUCY1A1,PDE1B,PDE3B,PGF,PRKACB"
Germ Cell-Sertoli Cell Junction Signaling	0.693	0.0643	#NUM!	"A2M,CDH1,ITGA2,ITGA3,LAMC3,PAK5,RHOJ,RHOV,RND2,TGFB2,TGFB3"
Thrombin Signaling	0.688	0.0625	3.317	"ARHGEF15,ARHGEF4,CAMK2B,F2RL2,GATA2,GNA14,GNAO1,PLCD3,PLCD4,PLCH2,RHOJ,RHOV,RND2"
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	0.678	0.0816	1	"CCNB1,CDK1,CDKN1A,CHEK1"
Mitotic Roles of Polo-Like Kinase	0.674	0.0758	0	"CCNB1,CDK1,PLK2,PLK3,PPP2R2B"
Purine Nucleotides Degradation II (Aerobic)	0.67	0.111	#NUM!	"NT5E,XDH"
Methylglyoxal Degradation III	0.67	0.111	#NUM!	"ADH4,AKR1C3"
VEGF Family Ligand-Receptor Interactions	0.662	0.0714	1.342	"NRP1,PGF,PLA2G2A,PLA2G2D,PLA2G3,PLA2G4F"
Protein Citrullination	0.66	0.2	#NUM!	PADI2
Lysine Degradation II	0.66	0.2	#NUM!	AADAT
Myo-inositol Biosynthesis	0.66	0.2	#NUM!	ISYNA1
Lysine Degradation V	0.66	0.2	#NUM!	AADAT
Galactose Degradation I (Leloir Pathway)	0.66	0.2	#NUM!	GALM
Tyrosine Degradation I	0.66	0.2	#NUM!	HGD
Amyloid Processing	0.658	0.08	#NUM!	"CAPN5,CAPN6,CAPN9,PRKACB"
Xenobiotic Metabolism Signaling	0.652	0.0592	#NUM!	"ALDH1A2,ALDH4A1,CAMK2B,CHST3,CYP1B1,FMO1,FMO3,FMO4,GSTA1,IL4I1,PPP2R2B,SOD3,SULT1C2,SULT1C4,SULT2B1,SULT4A1,UGT2B7"
Inhibition of Angiogenesis by TSP1	0.65	0.0882	#NUM!	"GUCY1A1,MMP9,SDC1"
BMP signaling pathway	0.646	0.0706	-1.342	"BMP7,PITX2,PRKACB,SMAD6,SMAD9,SOSTDC1"
RAR Activation	0.644	0.0619	#NUM!	"ADH4,AKR1C3,ALDH1A2,CRABP2,NR2F1,PRKACB,RBP7,RXRG,SMAD6,SMAD9,TGFB2,TGFB3"
Ovarian Cancer Signaling	0.642	0.0647	0.816	"EDNRA,FZD1,MMP2,MMP7,MMP9,PGF,PRKACB,TCF7L1,WNT7B"
NER Pathway	0.642	0.068	2.449	"DNA2,H4C13,H4C2,H4C3,H4C4,H4C6,H4C8"
Oxidative Ethanol Degradation III	0.635	0.105	#NUM!	"ALDH1A2,ALDH4A1"
DNA damage-induced 14-3-3_ Signaling	0.635	0.105	#NUM!	"CCNB1,CDK1"
Coagulation System	0.625	0.0857	#NUM!	"A2M,PLAT,SERPINA5"
Cardiomyocyte Differentiation via BMP Receptors	0.602	0.1	#NUM!	"BMP7,SMAD6"
CDP-diacylglycerol Biosynthesis I	0.602	0.1	#NUM!	"MBOAT2,PNPLA3"
The Visual Cycle	0.602	0.1	#NUM!	"AKR1C3,RBP7"
Fatty Acid _-oxidation	0.602	0.1	#NUM!	"ALDH1A2,ALDH4A1"
Endocannabinoid Cancer Inhibition Pathway	0.599	0.0629	-0.333	"CDH1,CDKN1A,GNAO1,MMP2,PGF,PRKACB,SNAI2,TCF7L1,TWIST2"
Urea Cycle	0.592	0.167	#NUM!	CPS1
Chondroitin and Dermatan Biosynthesis	0.592	0.167	#NUM!	CHSY3
Glycine Cleavage Complex	0.592	0.167	#NUM!	OCA2
UDP-N-acetyl-D-glucosamine Biosynthesis II	0.592	0.167	#NUM!	FMO3
Tryptophan Degradation to 2-amino-3-carboxymuconate Semialdehyde	0.592	0.167	#NUM!	IDO1
Zymosterol Biosynthesis	0.592	0.167	#NUM!	TM7SF2
FXR/RXR Activation	0.582	0.0635	#NUM!	"AGT,APOC1,APOD,CYP19A1,SAA1,SAA2,SDC1,SERPINF1"
Corticotropin Releasing Hormone Signaling	0.577	0.0621	0	"CACNA1E,CACNA1G,CACNB1,GLI2,GLI3,GNAO1,GUCY1A1,NPR3,PRKACB"
Paxillin Signaling	0.577	0.0648	#NUM!	"ITGA10,ITGA2,ITGA3,ITGA7,ITGB3,ITGB6,PAK5"
Actin Nucleation by ARP-WASP Complex	0.575	0.0694	2.236	"ITGA2,ITGA3,RHOJ,RHOV,RND2"
Ephrin B Signaling	0.575	0.0694	1.342	"CXCL12,EFNB3,EPHB3,GNA14,GNAO1"
Thyroid Hormone Metabolism II (via Conjugation and/or Degradation)	0.559	0.0789	#NUM!	"DIO3,SULT1C4,UGT2B7"
Sertoli Cell-Sertoli Cell Junction Signaling	0.553	0.0595	#NUM!	"A2M,CDH1,CLDN1,CLDN10,CLDN11,GUCY1A1,ITGA2,ITGA3,NECTIN1,PRKACB,TGFB3"
Phosphatidylglycerol Biosynthesis II (Non-plastidic)	0.542	0.0909	#NUM!	"MBOAT2,PNPLA3"
Antiproliferative Role of TOB in T Cell Signaling	0.538	0.0769	#NUM!	"CCNA2,TGFB2,TGFB3"
Glycoaminoglycan-protein Linkage Region Biosynthesis	0.535	0.143	#NUM!	B3GAT2
Regulation of Actin-based Motility by Rho	0.523	0.0638	2.449	"ITGA2,ITGA3,PAK5,RHOJ,RHOV,RND2"
Neurotrophin/TRK Signaling	0.517	0.0658	#NUM!	"NGF,NGFR,NTRK1,NTRK2,SORCS1"
Opioid Signaling Pathway	0.517	0.0567	0.277	"CACNA1E,CACNA1G,CACNB1,CAMK2B,GNAO1,GRIN2A,GRIN2C,PDE1B,PRKACB,RGS11,RGS13,RGS4,RGS6,SCN7A"
MSP-RON Signaling Pathway	0.516	0.069	#NUM!	"KLK5,KLK6,KLK7,MST1R"
Differential Regulation of Cytokine Production in Intestinal Epithelial Cells by IL-17A and IL-17F	0.516	0.087	#NUM!	"DEFB1,LCN2"
Tryptophan Degradation III (Eukaryotic)	0.516	0.087	#NUM!	"CYP2S1,IDO1"
Ethanol Degradation IV	0.516	0.087	#NUM!	"ALDH1A2,ALDH4A1"
Apelin Cardiac Fibroblast Signaling Pathway	0.516	0.087	#NUM!	"TGFB2,TGFB3"
FAK Signaling	0.511	0.0632	#NUM!	"CAPN5,CAPN6,CAPN9,ITGA2,ITGA3,PAK5"
PPAR_/RXR_ Activation	0.51	0.0579	-1.89	"ACVR1C,GNA14,IL1RAPL1,IL1RL1,NR2F1,PLCD3,PLCD4,PLCH2,PRKACB,TGFB2,TGFB3"
Dopamine Receptor Signaling	0.504	0.0649	#NUM!	"IL4I1,PPP1R14C,PPP2R2B,PRKACB,SLC18A2"
nNOS Signaling in Skeletal Muscle Cells	0.5	0.0732	#NUM!	"CACNA1E,CACNA1G,CACNB1"
ATM Signaling	0.488	0.0619	0.816	"CCNB1,CDK1,CDKN1A,CHEK1,PPP2R2B,TP73"
Superoxide Radicals Degradation	0.487	0.125	#NUM!	SOD3
Salvage Pathways of Pyrimidine Deoxyribonucleotides	0.487	0.125	#NUM!	APOBEC3A
Triacylglycerol Biosynthesis	0.481	0.0714	#NUM!	"MBOAT2,PLPPR4,PNPLA3"
Thyroid Cancer Signaling	0.479	0.0633	1.342	"CDH1,NGF,NTRK1,NTRK2,TCF7L1"
Sphingosine-1-phosphate Signaling	0.476	0.0598	2.646	"PDGFRB,PLCD3,PLCD4,PLCH2,RHOJ,RHOV,RND2"
"D-myo-inositol (1,4,5)-Trisphosphate Biosynthesis"	0.467	0.08	#NUM!	"PLCD3,PLCD4"
Role of MAPK Signaling in the Pathogenesis of Influenza	0.466	0.0625	#NUM!	"PLA2G2A,PLA2G2D,PLA2G3,PLA2G4F,PNPLA3"
Serotonin Receptor Signaling	0.465	0.0698	#NUM!	"IL4I1,SLC18A2,SLC6A4"
Necroptosis Signaling Pathway	0.462	0.0573	1.667	"CAMK2B,CAPN5,CAPN6,CAPN9,NGFR,PLA2G2A,PLA2G2D,PLA2G3,PLA2G4F"
Aldosterone Signaling in Epithelial Cells	0.453	0.057	2.449	"HSPA12A,HSPB1,HSPB6,PLCD3,PLCD4,PLCH2,SCNN1A,SCNN1B,SLC12A2"
Phospholipase C Signaling	0.447	0.0545	2.138	"ARHGEF15,ARHGEF4,ITGA2,ITGA3,NFATC4,PLA2G2A,PLA2G2D,PLA2G3,PLA2G4F,PLCD3,PLCD4,RHOJ,RHOV,RND2"
Gap Junction Signaling	0.446	0.0556	#NUM!	"ADRB1,CCN3,GJC1,GRIK2,GRIK3,GUCY1A1,NPR3,PLCD3,PLCD4,PLCH2,PRKACB"
Sucrose Degradation V (Mammalian)	0.445	0.111	#NUM!	GALM
Apelin Adipocyte Signaling Pathway	0.442	0.061	1.342	"GPX2,GPX3,GSTA1,NOX4,PRKACB"
FGF Signaling	0.42	0.0595	2.236	"FGF1,FGF10,FGF7,FGFR1,FGFR3"
Role of Oct4 in Mammalian Embryonic Stem Cell Pluripotency	0.417	0.0652	#NUM!	"FOXD3,NR2F1,SPP1"
Calcium Transport I	0.409	0.1	#NUM!	ATP2C2
HIPPO signaling	0.409	0.0588	#NUM!	"AJUBA,DLG4,PPP1R14C,PPP2R2B,RASSF6"
IL-6 Signaling	0.401	0.056	2.449	"A2M,CYP19A1,HSPB1,IL1RAPL1,IL1RL1,LBP,NGFR"
Cell Cycle: G1/S Checkpoint Regulation	0.393	0.0597	#NUM!	"CDKN1A,E2F7,TGFB2,TGFB3"
G_s Signaling	0.385	0.0561	0.816	"ADORA2B,ADRB1,GLP1R,PRKACB,PTGIR,PTH1R"
_-glutamyl Cycle	0.378	0.0909	#NUM!	ANPEP
IL-10 Signaling	0.37	0.058	#NUM!	"CCR5,IL1RAPL1,IL1RL1,LBP"
Myc Mediated Apoptosis Signaling	0.362	0.06	#NUM!	"ADRB1,NGFR,PRKACB"
NAD biosynthesis II (from tryptophan)	0.35	0.0833	#NUM!	IDO1
Mineralocorticoid Biosynthesis	0.35	0.0833	#NUM!	GSTA1
Clathrin-mediated Endocytosis Signaling	0.344	0.0518	#NUM!	"APOC1,APOD,FGF1,FGF10,FGF7,ITGB3,ITGB6,PGF,RAB4B,SNAP91"
Role of NFAT in Cardiac Hypertrophy	0.34	0.0514	2.714	"CACNA1E,CACNA1G,CACNB1,CAMK2B,NFATC4,PLCD3,PLCD4,PLCH2,PRKACB,TGFB2,TGFB3"
Glutathione-mediated Detoxification	0.336	0.0625	#NUM!	"ANPEP,GSTA1"
Role of IL-17A in Psoriasis	0.324	0.0769	#NUM!	CCL20
Fatty Acid Activation	0.324	0.0769	#NUM!	ACSBG1
Acyl-CoA Hydrolysis	0.324	0.0769	#NUM!	THEM5
Oleate Biosynthesis II (Animals)	0.324	0.0769	#NUM!	SCD5
Cholesterol Biosynthesis I	0.324	0.0769	#NUM!	TM7SF2
"Cholesterol Biosynthesis II (via 24,25-dihydrolanosterol)"	0.324	0.0769	#NUM!	TM7SF2
Cholesterol Biosynthesis III (via Desmosterol)	0.324	0.0769	#NUM!	TM7SF2
Pregnenolone Biosynthesis	0.324	0.0769	#NUM!	CYP26B1
Glucocorticoid Biosynthesis	0.324	0.0769	#NUM!	GSTA1
Neuregulin Signaling	0.305	0.0521	#NUM!	"DCN,DLG4,ITGA2,ITGA3,NRG3"
"Phenylalanine Degradation IV (Mammalian, via Side Chain)"	0.302	0.0714	#NUM!	IL4I1
PAK Signaling	0.298	0.0515	2.236	"EPHB3,ITGA2,ITGA3,PAK5,PDGFRB"
Cell Cycle Control of Chromosomal Replication	0.292	0.0536	#NUM!	"CDK1,CDK15,DNA2"
Antiproliferative Role of Somatostatin Receptor 2	0.291	0.0519	#NUM!	"CDKN1A,GUCY1A1,NPR3,SSTR2"
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	0.289	0.0504	#NUM!	"BMP7,FOXD3,FZD1,SMAD9,TCF7L1,WNT7B"
Superpathway of Citrulline Metabolism	0.281	0.0667	#NUM!	CPS1
Histidine Degradation VI	0.281	0.0667	#NUM!	CYP26B1
Cell Cycle Regulation by BTG Family Proteins	0.269	0.0541	#NUM!	"E2F7,PPP2R2B"
G Beta Gamma Signaling	0.269	0.0492	0.816	"CACNA1E,CACNA1G,CACNB1,GNA14,GNAO1,PRKACB"
HMGB1 Signaling	0.264	0.0485	2.646	"NGFR,PLAT,RHOJ,RHOV,RND2,TGFB2,TGFB3,TNFSF15"
Glutaryl-CoA Degradation	0.263	0.0625	#NUM!	CYP2S1
Parkinson's Signaling	0.263	0.0625	#NUM!	SEPTIN5
Retinoic acid Mediated Apoptosis Signaling	0.254	0.05	#NUM!	"CRABP2,RXRG,TNFRSF10C"
Mouse Embryonic Stem Cell Pluripotency	0.254	0.0485	1.342	"FOXD3,FZD1,ID4,SMAD9,TCF7L1"
PCP pathway	0.254	0.05	#NUM!	"FZD1,ROR2,WNT7B"
NF-_B Activation by Viruses	0.25	0.0488	#NUM!	"CCR5,ITGA2,ITGA3,ITGB3"
Ubiquinol-10 Biosynthesis (Eukaryotic)	0.246	0.0588	#NUM!	CYP26B1
_-linolenate Biosynthesis II (Animals)	0.246	0.0588	#NUM!	ACSBG1
Mitochondrial L-carnitine Shuttle Pathway	0.246	0.0588	#NUM!	ACSBG1
Granzyme A Signaling	0.215	0.0526	#NUM!	H1-5
Glucocorticoid Receptor Signaling	0	0.0387	#NUM!	"A2M,AGT,ANXA1,CDKN1A,KRT15,KRT19,KRT5,KRT6B,KRT81,NFATC4,PRKACB,TGFB2,TGFB3"
Natural Killer Cell Signaling	0	0.0152	#NUM!	"COL18A1,NFATC4,PAK5"
Fc Epsilon RI Signaling	0	0.0427	1.342	"FCER1A,PLA2G2A,PLA2G2D,PLA2G3,PLA2G4F"
Actin Cytoskeleton Signaling	0	0.0459	2.236	"ARHGEF4,FGF1,FGF10,FGF7,FN1,ITGA2,ITGA3,LBP,PAK5,TTN"
Huntington's Disease Signaling	0	0.038	1.134	"CAPN5,CAPN6,CAPN9,DLG4,GNA14,HAP1,NGF,NTRK1,SNAP25"
NRF2-mediated Oxidative Stress Response	0	0.0265	#NUM!	"FMO1,FTH1,GPX2,GSTA1,SOD3"
Hepatic Cholestasis	0	0.0432	#NUM!	"IL1RAPL1,IL1RL1,LBP,NGFR,PRKACB,TGFB2,TGFB3,TNFSF15"
Mitochondrial Dysfunction	0	0.0351	#NUM!	"FURIN,MT-ND5,MT-ND6,NDUFA2,NDUFA4L2,XDH"
Ceramide Signaling	0	0.0227	#NUM!	"NGFR,PPP2R2B"
PXR/RXR Activation	0	0.0308	#NUM!	"GSTA1,PRKACB"
Role of BRCA1 in DNA Damage Response	0	0.0375	#NUM!	"CDKN1A,CHEK1,E2F7"
14-3-3-mediated Signaling	0	0.0315	1	"PLCD3,PLCD4,PLCH2,TP73"
_-Adrenergic Signaling	0	0.0104	#NUM!	PRKACB
Fc_ Receptor-mediated Phagocytosis in Macrophages and Monocytes	0	0.0106	#NUM!	DGKB
IL-8 Signaling	0	0.045	2.121	"CDH1,ITGB3,MMP2,MMP9,NOX4,PGF,RHOJ,RHOV,RND2"
IL-12 Signaling and Production in Macrophages	0	0.0379	#NUM!	"APOC1,APOD,MST1R,TGFB2,TGFB3"
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	0	0.0195	#NUM!	"TGFB2,TGFB3,TNFSF15"
Role of PKR in Interferon Induction and Antiviral Response	0	0.00855	#NUM!	PDGFRB
TREM1 Signaling	0	0.0133	#NUM!	IL1RL1
Role of NFAT in Regulation of the Immune Response	0	0.0221	1	"FCER1A,GNA14,GNAO1,NFATC4"
Fc_RIIB Signaling in B Lymphocytes	0	0.04	#NUM!	"CACNA1E,CACNA1G,CACNB1"
LPS-stimulated MAPK Signaling	0	0.0122	#NUM!	LBP
CCR5 Signaling in Macrophages	0	0.0426	#NUM!	"CACNA1E,CACNA1G,CACNB1,CCR5"
IL-17 Signaling	0	0.0125	#NUM!	MUC5B
fMLP Signaling in Neutrophils	0	0.0172	#NUM!	"NFATC4,NOX4"
CXCR4 Signaling	0	0.0419	2.236	"CXCL12,GNA14,GNAO1,PAK5,RHOJ,RHOV,RND2"
4-1BB Signaling in T Lymphocytes	0	0.0312	#NUM!	TNFRSF9
CTLA4 Signaling in Cytotoxic T Lymphocytes	0	0.0112	#NUM!	PPP2R2B
Induction of Apoptosis by HIV1	0	0.0164	#NUM!	NGFR
B Cell Activating Factor Signaling	0	0.0244	#NUM!	NFATC4
T Helper Cell Differentiation	0	0.0137	#NUM!	NGFR
CCR3 Signaling in Eosinophils	0	0.0403	1.342	"PAK5,PLA2G2A,PLA2G2D,PLA2G3,PLA2G4F"
CD28 Signaling in T Helper Cells	0	0.00833	#NUM!	NFATC4
Virus Entry via Endocytic Pathways	0	0.0467	#NUM!	"CXADR,ITGA2,ITGA3,ITGB3,ITGB6"
Dendritic Cell Maturation	0	0.0328	2.449	"COL18A1,LEPR,NGFR,PLCD3,PLCD4,PLCH2"
Angiopoietin Signaling	0	0.04	#NUM!	"ANGPT4,BIRC5,PAK5"
Renin-Angiotensin Signaling	0	0.0254	#NUM!	"AGT,PAK5,PRKACB"
Docosahexaenoic Acid (DHA) Signaling	0	0.0263	#NUM!	SERPINF1
iCOS-iCOSL Signaling in T Helper Cells	0	0.018	#NUM!	"CAMK2B,NFATC4"
HGF Signaling	0	0.027	#NUM!	"CDKN1A,ITGA2,ITGA3"
Maturity Onset Diabetes of Young (MODY) Signaling	0	0.0476	#NUM!	CACNA1E
GNRH Signaling	0	0.0462	0.447	"CACNA1E,CACNA1G,CACNB1,CAMK2B,GNA14,MMP2,PAK5,PRKACB"
Cholecystokinin/Gastrin-mediated Signaling	0	0.0252	#NUM!	"RHOJ,RHOV,RND2"
Melanocyte Development and Pigmentation Signaling	0	0.0213	#NUM!	"KIT,PRKACB"
Androgen Signaling	0	0.0441	1	"CACNA1E,CACNA1G,CACNB1,GNA14,GNAO1,PRKACB"
Growth Hormone Signaling	0	0.0282	#NUM!	"A2M,IGF2"
Melanoma Signaling	0	0.04	#NUM!	"CDH1,CDKN1A"
Prostate Cancer Signaling	0	0.022	#NUM!	"CDKN1A,NKX3-1"
Renal Cell Carcinoma Signaling	0	0.025	#NUM!	"EGLN3,PAK5"
Type I Diabetes Mellitus Signaling	0	0.00901	#NUM!	NGFR
Small Cell Lung Cancer Signaling	0	0.0141	#NUM!	RXRG
Endometrial Cancer Signaling	0	0.0167	#NUM!	CDH1
Primary Immunodeficiency Signaling	0	0.02	#NUM!	IGHD
Glioma Signaling	0	0.0455	#NUM!	"CAMK2B,CDKN1A,E2F7,IGF2,PDGFRB"
Acute Myeloid Leukemia Signaling	0	0.0225	#NUM!	"KIT,TCF7L1"
Type II Diabetes Mellitus Signaling	0	0.0423	#NUM!	"ACSBG1,CACNA1E,CACNA1G,CACNB1,KCNJ11,NGFR"
Chronic Myeloid Leukemia Signaling	0	0.0388	#NUM!	"CDKN1A,E2F7,TGFB2,TGFB3"
Non-Small Cell Lung Cancer Signaling	0	0.0137	#NUM!	RXRG
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	0	0.0426	0.707	"APOC1,APOD,NGFR,PPP1R14C,PPP2R2B,RHOJ,RHOV,RND2"
p70S6K Signaling	0	0.0465	1.633	"AGT,F2RL2,PLCD3,PLCD4,PLCH2,PPP2R2B"
ERK5 Signaling	0	0.0278	#NUM!	"NGF,NTRK1"
mTOR Signaling	0	0.0238	1	"PGF,PPP2R2B,RHOJ,RHOV,RND2"
Communication between Innate and Adaptive Immune Cells	0	0.0104	#NUM!	IGHD
Crosstalk between Dendritic Cells and Natural Killer Cells	0	0.0112	#NUM!	CAMK2B
Systemic Lupus Erythematosus Signaling	0	0.0262	#NUM!	"NFATC4,RNU4-1,RNU4-2,RNU5A-1,RNU5B-1,RNU5E-1"
Cdc42 Signaling	0	0.012	#NUM!	"ITGA2,ITGA3"
EIF2 Signaling	0	0.00893	#NUM!	"NOX4,RPL39"
April Mediated Signaling	0	0.0256	#NUM!	NFATC4
AMPK Signaling	0	0.0327	-1.342	"ADRB1,CCNA2,CDKN1A,CHRNB2,PPM1E,PPP2R2B,PRKACB"
Hereditary Breast Cancer Signaling	0	0.0286	#NUM!	"CCNB1,CDK1,CDKN1A,CHEK1"
Rac Signaling	0	0.0357	2	"ITGA2,ITGA3,NOX4,PAK5"
RhoA Signaling	0	0.0244	#NUM!	"CIT,SEPTIN5,TTN"
HER-2 Signaling in Breast Cancer	0	0.0476	#NUM!	"CDKN1A,ITGB3,ITGB6,MMP2"
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	0	0.0111	#NUM!	SPP1
Regulation of eIF4 and p70S6K Signaling	0	0.0191	#NUM!	"ITGA2,ITGA3,PPP2R2B"
Estrogen-Dependent Breast Cancer Signaling	0	0.0135	#NUM!	CYP19A1
B Cell Development	0	0.0278	#NUM!	IGHD
IL-1 Signaling	0	0.033	#NUM!	"GNA14,GNAO1,PRKACB"
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	0	0.0337	#NUM!	"NFATC4,TGFB2,TGFB3"
Role of Wnt/GSK-3_ Signaling in the Pathogenesis of Influenza	0	0.0385	#NUM!	"FZD1,TCF7L1,WNT7B"
PKC_ Signaling in T Lymphocytes	0	0.0323	#NUM!	"CACNA1E,CACNA1G,CACNB1,CAMK2B,NFATC4"
TNFR1 Signaling	0	0.02	#NUM!	PAK5
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	0	0.0156	#NUM!	CCR5
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	0	0.0233	#NUM!	CCR5
PI3K Signaling in B Lymphocytes	0	0.0362	2.236	"CAMK2B,NFATC4,PLCD3,PLCD4,PLCH2"
P2Y Purigenic Receptor Signaling Pathway	0	0.0472	1.342	"ITGB3,P2RY2,PLCD3,PLCD4,PLCH2,PRKACB"
Role of Tissue Factor in Cancer	0	0.0342	#NUM!	"GNA14,ITGA3,ITGB3,PDIA2"
IL-17A Signaling in Airway Cells	0	0.0308	#NUM!	"CCL20,MUC5B"
Role of IL-17A in Arthritis	0	0.0182	#NUM!	CCL20
IL-17A Signaling in Fibroblasts	0	0.0286	#NUM!	LCN2
IL-17A Signaling in Gastric Cells	0	0.04	#NUM!	CCL20
NGF Signaling	0	0.0263	#NUM!	"NGF,NGFR,NTRK1"
Telomerase Signaling	0	0.0187	#NUM!	"CDKN1A,PPP2R2B"
Hematopoiesis from Pluripotent Stem Cells	0	0.0204	#NUM!	IGHD
eNOS Signaling	0	0.044	1	"AQP4,CCNA2,CHRNB2,GUCY1A1,NOSTRIN,PGF,PRKACB"
iNOS Signaling	0	0.0222	#NUM!	LBP
Ephrin A Signaling	0	0.0426	#NUM!	"EPHA5,NGFR"
ErbB Signaling	0	0.0213	#NUM!	"NRG3,PAK5"
ErbB2-ErbB3 Signaling	0	0.0308	#NUM!	"ETV4,NRG3"
ErbB4 Signaling	0	0.0149	#NUM!	NRG3
GDNF Family Ligand-Receptor Interactions	0	0.0263	#NUM!	"DOK5,GFRA3"
Pyrimidine Ribonucleotides De Novo Biosynthesis	0	0.0233	#NUM!	CTPS1
D-myo-inositol-5-phosphate Metabolism	0	0.0385	2.449	"ALPL,CA3,CILP,PLCD3,PLCD4,PPFIA4"
NAD Salvage Pathway II	0	0.0385	#NUM!	NT5E
Pyridoxal 5'-phosphate Salvage Pathway	0	0.0308	#NUM!	"CDK1,PAK5"
Triacylglycerol Degradation	0	0.0426	#NUM!	"CEL,PNPLA3"
"D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis"	0	0.0284	2	"ALPL,CA3,CILP,PPFIA4"
Superpathway of Inositol Phosphate Compounds	0	0.0303	2.449	"ALPL,CA3,CILP,PLCD3,PLCD4,PPFIA4"
"D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis"	0	0.0284	2	"ALPL,CA3,CILP,PPFIA4"
3-phosphoinositide Degradation	0	0.0258	2	"ALPL,CA3,CILP,PPFIA4"
3-phosphoinositide Biosynthesis	0	0.0242	2	"ALPL,CA3,CILP,PPFIA4"
Salvage Pathways of Pyrimidine Ribonucleotides	0	0.0309	#NUM!	"APOBEC3A,CDK1,PAK5"
Pyrimidine Ribonucleotides Interconversion	0	0.0244	#NUM!	CTPS1
Stearate Biosynthesis I (Animals)	0	0.0426	#NUM!	"ACSBG1,THEM5"
Fatty Acid _-oxidation I	0	0.0312	#NUM!	ACSBG1
Superpathway of Cholesterol Biosynthesis	0	0.0345	#NUM!	TM7SF2
G_i Signaling	0	0.032	1	"ADORA1,NPR3,PRKACB,RGS4"
G_q Signaling	0	0.038	0.816	"GNA14,NFATC4,RGS4,RHOJ,RHOV,RND2"
PEDF Signaling	0	0.0366	#NUM!	"NGF,SERPINF1,TCF7L1"
Remodeling of Epithelial Adherens Junctions	0	0.0147	#NUM!	CDH1
UVA-Induced MAPK Signaling	0	0.0306	#NUM!	"PLCD3,PLCD4,PLCH2"
UVB-Induced MAPK Signaling	0	0.0192	#NUM!	H3C3
Oxidative Phosphorylation	0	0.0183	#NUM!	"MT-ND5,NDUFA2"
Unfolded protein response	0	0.0179	#NUM!	PDIA2
Toll-like Receptor Signaling	0	0.0263	#NUM!	"IL1RL1,LBP"
SAPK/JNK Signaling	0	0.0098	#NUM!	DUSP4
PI3K/AKT Signaling	0	0.0457	0	"CDKN1A,GDF15,IL13RA2,IL17RD,IL1RL1,ITGA2,ITGA3,PPP2R2B"
Interferon Signaling	0	0.0278	#NUM!	IFI6
Protein Ubiquitination Pathway	0	0.0147	#NUM!	"HSPA12A,HSPB1,HSPB6,USP2"
JAK/Stat Signaling	0	0.0125	#NUM!	CDKN1A
GABA Receptor Signaling	0	0.0421	#NUM!	"CACNA1E,CACNA1G,CACNB1,GABRP"
IL-4 Signaling	0	0.0118	#NUM!	NFATC4
B Cell Receptor Signaling	0	0.0162	#NUM!	"CAMK2B,IGHD,NFATC4"
